task,model,family,dev_pooled,test_pooled,test_per_language,has_ci,seeds
priority,gemma-3-270m,encoder,1,0,0,0,0
priority,gemma-3-270m-probe-last,probe,1,0,0,0,0
priority,gemma-3-270m-probe-mean,probe,1,0,0,0,0
priority,indicbert,encoder,1,0,0,0,0
priority,intent-chained,,0,0,0,0,0
priority,intent-lookup-oracle,,0,0,0,0,0
priority,labse,encoder,1,1,0,0,0
priority,labse-ft-priority-probe-cls,probe,0,1,0,0,0
priority,labse-ft-priority-probe-mean,probe,0,1,0,0,0
priority,labse-ft-sentiment-probe-cls,probe,0,1,0,0,0
priority,labse-ft-sentiment-probe-mean,probe,0,1,0,0,0
priority,labse-probe-cls,probe,1,1,0,0,0
priority,labse-probe-mean,probe,1,1,0,0,0
priority,majority,,0,0,0,0,0
priority,mmbert,encoder,1,1,0,0,0
priority,mmbert-probe-cls,probe,1,0,0,0,0
priority,mmbert-probe-mean,probe,1,0,0,0,0
priority,muril-base,encoder,1,1,5,0,1
priority,sinbert-large,encoder,1,0,0,0,0
priority,sinbert-large-probe-cls,probe,0,0,0,0,0
priority,sinbert-large-probe-mean,probe,0,0,0,0,0
priority,sinhalaberto,encoder,1,0,0,0,0
priority,sinhalaberto-probe-cls,probe,0,0,0,0,0
priority,sinhalaberto-probe-mean,probe,0,0,0,0,0
priority,tfidf-cnb,classical,1,1,5,1,1
priority,tfidf-logreg,classical,1,1,5,1,1
priority,tfidf-sgd,classical,1,1,5,1,1
priority,tfidf-svm,classical,1,1,5,1,1
priority,twhin-bert,encoder,1,0,0,0,0
priority,twhin-bert-probe-cls,probe,1,0,0,0,0
priority,twhin-bert-probe-mean,probe,1,0,0,0,0
priority,xlmr-base,encoder,1,1,0,0,0
priority,xlmr-base-probe-cls,probe,1,0,0,0,0
priority,xlmr-base-probe-mean,probe,1,0,0,0,0
