error,id,language,y_true,y_pred,text_en,text
false_negative,1007,english,Negative,Neutral,"I topped up my account and even though it was confirmed at first, the money isn't there anymore! why did this happen, and where did my money go?","I topped up my account and even though it was confirmed at first, the money isn't there anymore! why did this happen, and where did my money go?"
false_negative,1160,english,Negative,Neutral,Why do you require so many details about my identity?,Why do you require so many details about my identity?
false_negative,1161,english,Negative,Neutral,I'd rather not verify my identity.,I'd rather not verify my identity.
false_negative,1205,english,Negative,Neutral,It is impossible to verify my identity,It is impossible to verify my identity
false_negative,1266,english,Negative,Neutral,I still don't have my pin.,I still don't have my pin.
false_negative,1267,english,Negative,Neutral,So what about the card PIN?,So what about the card PIN?
false_negative,1417,english,Negative,Neutral,My card is being used online to make a bunch of purchases! Someone else is using it fraudulently. Can you help me freeze it?,My card is being used online to make a bunch of purchases! Someone else is using it fraudulently. Can you help me freeze it?
false_negative,1418,english,Negative,Neutral,"Someone has my card number, freeze my account.","Someone has my card number, freeze my account."
false_negative,1430,english,Negative,Neutral,I believe someone is using my card without my agreement!,I believe someone is using my card without my agreement!
false_negative,1439,english,Negative,Neutral,"Someone else is using my card, freeze it.","Someone else is using my card, freeze it."
false_negative,1560,english,Negative,Neutral,Can you tell me why you won't let me get my own money out of the money machine? I know I used the right PIN.,Can you tell me why you won't let me get my own money out of the money machine? I know I used the right PIN.
false_negative,1578,english,Negative,Neutral,What are some reasons that would cause ATM machines to decline my card? It has happened to me multiple times!,What are some reasons that would cause ATM machines to decline my card? It has happened to me multiple times!
false_negative,1590,english,Negative,Neutral,i tried to withdraw money from an atm and i was declined on front of my friends. Why did this happen?,i tried to withdraw money from an atm and i was declined on front of my friends. Why did this happen?
false_negative,1610,english,Negative,Neutral,I made this payment days ago so why hasn't it gone through yet?,I made this payment days ago so why hasn't it gone through yet?
false_negative,1722,english,Negative,Neutral,I am getting continuous failure for all my transfers. I have cross checked each recipient detail again and again and everything is correct.,I am getting continuous failure for all my transfers. I have cross checked each recipient detail again and again and everything is correct.
false_negative,1750,english,Negative,Neutral,My transfer has been declined and I know it should have went through.,My transfer has been declined and I know it should have went through.
false_negative,1768,english,Negative,Neutral,"Help! I keep checking my account, but my refund is not showing. I requested that a seller refund my money a while back, but there is no money showing in my account. What can you do for me?","Help! I keep checking my account, but my refund is not showing. I requested that a seller refund my money a while back, but there is no money showing in my account. What can you do for me?"
false_negative,1797,english,Negative,Neutral,I would like some help getting a refund back from a seller. It still isn't showing up on my statement and I requested this a long time ago. I'm not sure why it's not returned yet. Can you assist me in getting this money back?,I would like some help getting a refund back from a seller. It still isn't showing up on my statement and I requested this a long time ago. I'm not sure why it's not returned yet. Can you assist me in getting this money back?
false_negative,1812,english,Negative,Neutral,"My latest payment was declined, I was told everything was back to working order. What happened?","My latest payment was declined, I was told everything was back to working order. What happened?"
false_negative,1815,english,Negative,Neutral,I'm really stuck. I don't know why but my card payment has not gone through.,I'm really stuck. I don't know why but my card payment has not gone through.
false_negative,1819,english,Negative,Neutral,Why are you declining my payment? Everything was fine.,Why are you declining my payment? Everything was fine.
false_negative,1837,english,Negative,Neutral,"I tried using my card and it kept getting declined, Why?","I tried using my card and it kept getting declined, Why?"
false_negative,1861,english,Negative,Neutral,"I double checked that I have the correct account details , they're right for sure. Transfer is still pending since forever. What should be done now?","I double checked that I have the correct account details , they're right for sure. Transfer is still pending since forever. What should be done now?"
false_negative,1885,english,Negative,Neutral,I'm tired of all the problems I've had. I want to quit this account!,I'm tired of all the problems I've had. I want to quit this account!
false_positive,9,english,Neutral,Negative,Is it normal to have to wait over a week for my new card?,Is it normal to have to wait over a week for my new card?
false_positive,13,english,Neutral,Negative,still waiting on my new card,still waiting on my new card
false_positive,14,english,Neutral,Negative,I am still waiting for my card after 1 week.  Is this ok?,I am still waiting for my card after 1 week.  Is this ok?
false_positive,16,english,Neutral,Negative,I've been waiting longer than expected for my card.,I've been waiting longer than expected for my card.
false_positive,17,english,Neutral,Negative,Why hasn't my card been delivered?,Why hasn't my card been delivered?
false_positive,130,english,Neutral,Negative,You did not apply the correct exchange rate for an item that I bought.,You did not apply the correct exchange rate for an item that I bought.
false_positive,147,english,Neutral,Negative,"Hi, I don't think your exchange rate is right. I need you to check the official interbank exchange please.","Hi, I don't think your exchange rate is right. I need you to check the official interbank exchange please."
false_positive,219,english,Neutral,Negative,"Hey, my card was declined at an ATM in the city centre theatre. My account says the transaction is pending, though. I didn't get the money, though, so what does that mean?","Hey, my card was declined at an ATM in the city centre theatre. My account says the transaction is pending, though. I didn't get the money, though, so what does that mean?"
false_positive,395,english,Neutral,Negative,My card doesn't accept any transaction at all. What's wrong??,My card doesn't accept any transaction at all. What's wrong??
false_positive,446,english,Neutral,Negative,Oh no!  I lost my card!  Help!,Oh no!  I lost my card!  Help!
false_positive,448,english,Neutral,Negative,Help! Someone stole my card!,Help! Someone stole my card!
false_positive,658,english,Neutral,Negative,"Is there something wrong with your website? I tried topping up my account and it's been close to two hours now and it's still at ""pending"" for some reason. I just joined with you guys and this is the first attempt at this, so maybe I'm wrong, but shouldn't this be instant?","Is there something wrong with your website? I tried topping up my account and it's been close to two hours now and it's still at ""pending"" for some reason. I just joined with you guys and this is the first attempt at this, so maybe I'm wrong, but shouldn't this be instant?"
false_positive,667,english,Neutral,Negative,I'm attempting to top-up my account but it has been pending for an hour.,I'm attempting to top-up my account but it has been pending for an hour.
false_positive,670,english,Neutral,Negative,"My top up hasn't worked, it's been stuck in pending for the last couple hours","My top up hasn't worked, it's been stuck in pending for the last couple hours"
false_positive,674,english,Neutral,Negative,"Hi. I'm a new customer to your system and I think something isn't working right - or maybe it is. Maybe you can confirm. I tried to top up today (my first time ever) and it's been stuck at ""pending"" for over an hour now. Is it supposed to do this or is there something wrong in the system?","Hi. I'm a new customer to your system and I think something isn't working right - or maybe it is. Maybe you can confirm. I tried to top up today (my first time ever) and it's been stuck at ""pending"" for over an hour now. Is it supposed to do this or is there something wrong in the system?"
false_positive,711,english,Neutral,Negative,I need to make an immediate cancellation related to a transfer. This was a mistake. Please assist quickly so this does not actually go through.,I need to make an immediate cancellation related to a transfer. This was a mistake. Please assist quickly so this does not actually go through.
false_positive,713,english,Neutral,Negative,I made an error in payment yesterday and I need it fixed asap because it's for my rent tomorrow.,I made an error in payment yesterday and I need it fixed asap because it's for my rent tomorrow.
false_positive,721,english,Neutral,Negative,Am I free to top-up as much as I want?,Am I free to top-up as much as I want?
false_positive,801,english,Neutral,Negative,I was charged a fee after using my card and I shouldn't have been.,I was charged a fee after using my card and I shouldn't have been.
false_positive,878,english,Neutral,Negative,I am still awaiting the completion of the transaction.,I am still awaiting the completion of the transaction.
false_positive,1019,english,Neutral,Negative,I went to top up and it is no longer there.  Was it sent back?,I went to top up and it is no longer there.  Was it sent back?
false_positive,1100,english,Neutral,Negative,"Please put a freeze on my card,  I am worried there has been some payments on it and I don't know what for.","Please put a freeze on my card,  I am worried there has been some payments on it and I don't know what for."
false_positive,1103,english,Neutral,Negative,What should I do to get transactions off of my account if I didn't make them?  My card must have been compromised and I need to freeze it asap!,What should I do to get transactions off of my account if I didn't make them?  My card must have been compromised and I need to freeze it asap!
false_positive,1187,english,Neutral,Negative,I won't verify my identity.,I won't verify my identity.
false_positive,1196,english,Neutral,Negative,Why is it asking me to verify my identity,Why is it asking me to verify my identity
false_positive,1224,english,Neutral,Negative,What's with not verifying my Id?,What's with not verifying my Id?
false_positive,1226,english,Neutral,Negative,"I tried verifying my ID, but it won't let me.","I tried verifying my ID, but it won't let me."
false_positive,1351,english,Neutral,Negative,Why is my money gone right when I attempted to top up,Why is my money gone right when I attempted to top up
false_positive,1408,english,Neutral,Negative,Someone is using my account to do online shopping! Please freeze it asap,Someone is using my account to do online shopping! Please freeze it asap
false_positive,1512,english,Neutral,Negative,I am concerned about the security in my account and would like to make a dispute.,I am concerned about the security in my account and would like to make a dispute.
false_positive,1516,english,Neutral,Negative,Someone has taken my money and I don't know who,Someone has taken my money and I don't know who
false_positive,1517,english,Neutral,Negative,I was charged on my account that shouldn't be there.,I was charged on my account that shouldn't be there.
false_positive,1665,english,Neutral,Negative,"Someone attacked me yesterday and took my things, so I am unable to use the app.  I am in need of some help.","Someone attacked me yesterday and took my things, so I am unable to use the app.  I am in need of some help."
false_positive,1707,english,Neutral,Negative,I would like a refund on one of your products that has been sold to me,I would like a refund on one of your products that has been sold to me
false_positive,1728,english,Neutral,Negative,My transfers are being declined. IT has always worked for me but now it's declining my card. I've tried several times.,My transfers are being declined. IT has always worked for me but now it's declining my card. I've tried several times.
false_positive,1746,english,Neutral,Negative,"I tired to move my money, but my transfer was declined.","I tired to move my money, but my transfer was declined."
false_positive,1758,english,Neutral,Negative,"I was attempting to purchase a golf club off eBay yesterday, but my credit card was declined. I tried multiple times, and again this morning. Can you check into my card please?","I was attempting to purchase a golf club off eBay yesterday, but my credit card was declined. I tried multiple times, and again this morning. Can you check into my card please?"
false_positive,1766,english,Neutral,Negative,I am awaiting my refund,I am awaiting my refund
false_positive,1796,english,Neutral,Negative,"I am waiting patiently for a week now for the seller to get back to me and there has been no response, could you please help me further with getting my money back.  Thank you.","I am waiting patiently for a week now for the seller to get back to me and there has been no response, could you please help me further with getting my money back.  Thank you."
false_positive,1813,english,Neutral,Negative,I know I have enough funds in my account but my card payment hasn't worked for some reason. What do I do?,I know I have enough funds in my account but my card payment hasn't worked for some reason. What do I do?
