id,source_en,system,translation,language,script_fidelity,empty,labse_cosine
219,"Hey, my card was declined at an ATM in the city centre theatre. My account says the transaction is pending, though. I didn't get the money, though, so what does that mean?",swift,"හෙයි, city centre theatre එකේ ATM එකේදි මගේ කාඩ් එක decline වුනා. ඒත් මගේ account එකේ ට්‍රැන්සැක්ෂන් එක pending කියලා තියෙනවා. මට සල්ලි ලැබුනේ නෑ, එතකොට ඒකේ තේරුම මොකක්ද?",sinhala,0.6985294117647058,False,0.9205103
257,"When considering currency holdings and exchanges, what fiat currencies are supported?",swift,"කරන්සි holdings සහ exchanges ගැන හිතද්දි, support කරන fiat කරන්සි මොනවද?",sinhala,0.5333333333333333,False,0.8510313
259,Can I hold money in other currencies?,swift,මට වෙනත් කරන්සි වලින් සල්ලි තියාගන්න පුළුවන්ද?,sinhala,1.0,False,0.8839301
273,Can I hold money in multiple currencies?,swift,මට කරන්සි කීපයකින් සල්ලි තියාගන්න පුළුවන්ද?,sinhala,1.0,False,0.81235015
296,I need it delivered on a certain date.,swift,මට ඒක නිශ්චිත දිනයකට ඩිලිවර් කරන්න ඕනේ.,sinhala,1.0,False,0.8622078
298,How long does it take to get my card? Can I choose when to receive it?,swift,මගේ කාඩ් එක ලැබෙන්න කොච්චර වෙලා යනවද? ඒක ලැබෙන වෙලාව මට තෝරගන්න පුළුවන්ද?,sinhala,1.0,False,0.8737619
299,How long will it take for the card to arrive?,swift,කාඩ් එක එන්න කොච්චර වෙලා යනවද?,sinhala,1.0,False,0.91270983
304,When will the card arrive?,swift,කාඩ් එක එන්නේ කවදද?,sinhala,1.0,False,0.91148204
306,When are cards delivered?,swift,කාඩ් ඩිලිවර් කරන්නේ කවදද?,sinhala,1.0,False,0.8324053
330,"Where can I find the ""auto-top"" feature?",swift,"""auto-top"" feature එක හොයාගන්නේ කොහෙද?",sinhala,0.5333333333333333,False,0.91776955
339,How do I make sure I don't run out of money on my card while traveling?,swift,ට්‍රැවල් කරද්දි මගේ කාඩ් එකේ සල්ලි ඉවර නොවෙන බව confirm කරගන්නේ කොහොමද?,sinhala,0.8793103448275862,False,0.8267163
379,How can I resolve a problem where my card won't go through at all?,swift,මගේ කාඩ් එක කිසිසේත් go through නොවෙන ප්‍රොබ්ලම් එක resolve කරන්නේ කොහොමද?,sinhala,0.7377049180327869,False,0.9114037
403,How do I change LKR to USD?,swift,LKR එක USD එකට මාරු කරන්නේ කොහොමද?,sinhala,0.7777777777777778,False,0.9530341
418,Can I change to another currency?,swift,මට වෙනත් කරන්සියකට මාරු වෙන්න පුළුවන්ද?,sinhala,1.0,False,0.83395386
419,"I need USD not LKR, how do I change it?",swift,"මට ඕනේ USD, LKR නෙවෙයි, ඒක මාරු කරන්නේ කොහොමද?",sinhala,0.8285714285714286,False,0.9309306
459,I need help with a lost card,swift,නැති වුන කාඩ් එකකට මට උදව් ඕනේ,sinhala,1.0,False,0.94513905
484,How old do we have to be?,swift,අපිට කොච්චර වයසක් ඉන්න ඕනේද?,sinhala,1.0,False,0.8856424
499,If my kids wanted to use your service how old would they have to be?,swift,මගේ ළමයින්ට ඔයාලගේ service එක පාවිච්චි කරන්න ඕනේ නම් ඒගොල්ලන්ට කොච්චර වයසක් ඉන්න ඕනේද?,sinhala,0.9027777777777778,False,0.92052674
534,What do I do if the bank machine won't accept my PIN attempts anymore?,swift,bank machine එක මගේ PIN attempts accept නොකළොත් මම මොකද කරන්න ඕනේ?,sinhala,0.48148148148148145,False,0.8880345
539,I'v exhausted all the of times I can try my PIN,swift,මට PIN එක try කරන්න පුළුවන් වතාවන් ඔක්කොම ඉවර වෙලා,sinhala,0.8536585365853658,False,0.9236961
579,Can you help my fix my contactless?,swift,මගේ contactless එක fix කරන්න උදව් කරන්නද?,sinhala,0.5882352941176471,False,0.90875846
619,Will topping up by transfer lead to a charge on my account?,swift,transfer එකෙන් top up කිරීම මගේ account එකට charge එකකට හේතු වෙනවද?,sinhala,0.5272727272727272,False,0.91715
628,Will I be charged for a SEPA transfer?,swift,SEPA transfer එකකට මට charge කරයිද?,sinhala,0.3793103448275862,False,0.9333632
659,"I topped up by card a while ago and it's still pending, surely it should be done by now?",swift,"මම ටිකකට කලින් කාඩ් එකෙන් top up කළා, තාම pending, දැනට වෙලා ඉවර වෙන්න ඕනේ නේද?",sinhala,0.8032786885245902,False,0.86849177
661,top up did not complete,swift,top up එක complete වුනේ නෑ,sinhala,0.38095238095238093,False,0.9618174
699,Can I cancel a transfer if is already processed?,swift,දැනටමත් process වුන transfer එකක් cancel කරන්න පුළුවන්ද?,sinhala,0.5625,False,0.8637503
736,Tell me if there are any top-up limits?,swift,top-up limits තියෙනවද කියලා කියන්නකෝ?,sinhala,0.6451612903225806,False,0.8876266
739,Can I top-up as much as I want?,swift,මට ඕන ගාණකට top-up කරන්න පුළුවන්ද?,sinhala,0.8148148148148148,False,0.88551825
746,Do you have a top-up limit?,swift,ඔයාලා ළඟ top-up limit එකක් තියෙනවද?,sinhala,0.6428571428571429,False,0.9077922
765,The amount of cash I received was incorrect,swift,මට ලැබුන cash amount එක වැරදියි,sinhala,0.6153846153846154,False,0.8946836
779,"I tried to get Rs 100,000 but I just got Rs 20,000",swift,"මම Rs 100,000 ගන්න try කළා ඒත් ලැබුනේ Rs 20,000 විතරයි",sinhala,0.7741935483870968,False,0.9053848
792,I didn't receive all the cash I asked for,swift,මම ඉල්ලුව cash එක ඔක්කොම ලැබුනේ නෑ,sinhala,0.8571428571428571,False,0.9429079
801,I was charged a fee after using my card and I shouldn't have been.,swift,"මම කාඩ් එක පාවිච්චි කළාට පස්සේ ෆී එකක් අයකළා, ඒ වෙන්න ඕනේ නෑ.",sinhala,1.0,False,0.813087
819,Why would I be charged a fee for card payment?,swift,කාඩ් payment එකකට මට ෆී එකක් අයවෙන්නේ ඇයි?,sinhala,0.7941176470588235,False,0.8685783
859,I sent money.  They haven't received it.,swift,මම සල්ලි එව්වා. ඒගොල්ලන්ට ලැබුනේ නෑ.,sinhala,1.0,False,0.93834627
864,Where is the transaction I made to a friend?,swift,මම යාළුවෙක්ට කරපු ට්‍රැන්සැක්ෂන් එක කොහෙද?,sinhala,1.0,False,0.84606624
899,How can I use American Express to add money to my account?,swift,account එකට සල්ලි add කරන්න American Express පාවිච්චි කරන්නේ කොහොමද?,sinhala,0.5689655172413793,False,0.88159084
923,Is there an option to have a virtual card?,swift,virtual card එකක් තියාගන්න option එකක් තියෙනවද?,sinhala,0.575,False,0.90101284
935,Is this where I order a virtual card?,swift,මේකෙන්ද virtual card එකක් ඕඩර් කරන්නේ?,sinhala,0.65625,False,0.8510859
939,Where can I order a virtual card?,swift,virtual card එකක් ඕඩර් කරන්නේ කොහෙද?,sinhala,0.6333333333333333,False,0.8913549
979,"I am traveling to Germany, Will I be able to use my card there?",swift,"මම Germany එකට ට්‍රැවල් කරනවා, එතන මගේ කාඩ් එක පාවිච්චි කරන්න පුළුවන්ද?",sinhala,0.8771929824561403,False,0.8593716
1019,I went to top up and it is no longer there.  Was it sent back?,swift,"මම top up කරන්න ගියා, ඒක දැන් නෑ. ඒක ආපහු එව්වාද?",sinhala,0.8611111111111112,False,0.85048306
1027,The app reverted my action when I topped up.,swift,මම top up කරද්දි ඇප් එක මගේ action එක revert කළා.,sinhala,0.5526315789473685,False,0.88870347
1031,has my top-up has been cancelled,swift,මගේ top-up එක cancel වෙලාද,sinhala,0.47619047619047616,False,0.91040283
1059,"I Submitted a cheque couple days ago, nothing happened to my account yet.Would you please check What could be the possible issue?",swift,"දවස් කීපයකට කලින් මම cheque එකක් submit කළා, මගේ account එකට තාම මොකුත් වුනේ නෑ. ප්‍රොබ්ලම් එක මොකක්ද කියලා check කරන්නකෝ?",sinhala,0.7551020408163265,False,0.8459201
1099,Payment i did not do,swift,මම නොකළ payment එක,sinhala,0.5333333333333333,False,0.9091501
1106,I'm not familiar with a card payment.,swift,මට කාඩ් payment එකක් ගැන දන්නේ නෑ.,sinhala,0.7407407407407407,False,0.87442166
1119,In my statement there is a payment that is I do not recognize,swift,මගේ statement එකේ මම හඳුනන්නේ නැති payment එකක් තියෙනවා,sinhala,0.6595744680851063,False,0.89390504
1139,How can I modify my details?,swift,මගේ details modify කරන්නේ කොහොමද?,sinhala,0.5357142857142857,False,0.937598
1179,Do I need to verify my identity to use my account?,swift,account එක පාවිච්චි කරන්න මගේ identity එක verify කරන්න ඕනේද?,sinhala,0.58,False,0.9078259
1219,I can not get the app to know it is me.,swift,මාව මම කියලා ඇප් එකට දැනගන්න කරන්න බෑ.,sinhala,1.0,False,0.86739004
1227,How do I show this stupid system that this is really my identity?,swift,මේක ඇත්තටම මගේ identity එක කියලා මේ මෝඩ සිස්ටම් එකට පෙන්නන්නේ කොහොමද?,sinhala,0.8596491228070176,False,0.89005077
1259,what is the process for setting up a pin,swift,pin එකක් set කරන process එක මොකක්ද,sinhala,0.5357142857142857,False,0.92887485
1274,I can not find my card pin.,swift,මට මගේ කාඩ් pin එක හොයාගන්න බෑ.,sinhala,0.875,False,0.8763968
1276,Why can't I find my PIN?,swift,මගේ PIN එක හොයාගන්න බැරි ඇයි?,sinhala,0.8695652173913043,False,0.93640155
1299,Am I able to choose my card?,swift,මගේ කාඩ් එක තෝරගන්න මට පුළුවන්ද?,sinhala,1.0,False,0.88676965
1304,Do I get to choose between Visa and Mastercard?,swift,Visa සහ Mastercard අතර මට තෝරගන්න ලැබෙයිද?,sinhala,0.6,False,0.9359002
1332,how can i top up?,swift,top up කරන්නේ කොහොමද?,sinhala,0.7058823529411765,False,0.85572904
1339,Will my friend be able to top off my account?,swift,මගේ යාළුවට මගේ account එක top off කරන්න පුළුවන්ද?,sinhala,0.675,False,0.87332314
1371,How many card payments can I use on a disposable card?,swift,disposable card එකකට මට කීයක් card payments පාවිච්චි කරන්න පුළුවන්ද?,sinhala,0.5517241379310345,False,0.90968263
1379,I have to have several disposable cards per day.,swift,මට දවසකට disposable cards කීපයක් තියෙන්න ඕනේ.,sinhala,0.6052631578947368,False,0.89693016
1395,Do you know what the restriction of the disposable cards are?,swift,disposable cards වල restriction එක මොකක්ද කියලා ඔයාලා දන්නවද?,sinhala,0.5,False,0.9112232
1396,What are the limits for disposable virtual cards?,swift,disposable virtual cards වලට limits මොනවද?,sinhala,0.2222222222222222,False,0.94371736
1419,"I see random purchases to my account, was it hacked?",swift,"මගේ account එකේ අහම්බෙන් purchases පේනවා, ඒක hack වුනාද?",sinhala,0.5652173913043478,False,0.8761786
1446,Which ATM's accept my card?,swift,මොන ATM's ද මගේ කාඩ් එක accept කරන්නේ?,sinhala,0.6551724137931034,False,0.90587014
1448,Where are the locations of ATMs that accept this card?,swift,මේ කාඩ් එක accept කරන ATMs locations මොනවද?,sinhala,0.45714285714285713,False,0.8742153
1474,At which ATMs can I use this card?,swift,මොන ATMs වලදි මට මේ කාඩ් එක පාවිච්චි කරන්න පුළුවන්ද?,sinhala,0.9047619047619048,False,0.9151895
1499,"A couple weeks ago some money was deducted from my account by some seller that I don't remember. I'm pretty sure I didn't do that, but is it possible to trace back who that is just to make sure?",swift,"සති කීපයකට කලින් මම මතක නැති seller කෙනෙක් මගේ account එකෙන් සල්ලි deduct කළා. මම ඒක කළේ නෑ කියලා හරියටම හිතන්නේ, ඒත් confirm කරගන්න ඒ කෙනා trace back කරන්න පුළුවන්ද?",sinhala,0.7388059701492538,False,0.8939289
1539,I have forgotten my passcode to access my app,swift,ඇප් එකට enter වෙන්න මගේ passcode එක අමතක වෙලා,sinhala,0.6486486486486487,False,0.9055203
1579,Why did the ATM machine fail to give me a cash withdrawal?,swift,ATM machine එකට මට cash withdrawal එකක් දෙන්න බැරි වුනේ ඇයි?,sinhala,0.5102040816326531,False,0.814535
1610,I made this payment days ago so why hasn't it gone through yet?,swift,"මම මේ payment එක දවස් ගානකට කලින් කළා, එතකොට ඒක තාම go through වුනේ නැත්තේ ඇයි?",sinhala,0.7419354838709677,False,0.93719935
1616,What is a pending payment?,swift,pending payment එකක් කියන්නෙ මොකක්ද කියලා දැනගන්න ඕනේ,sinhala,0.6956521739130435,False,0.7456356
1619,My card payment is pending.,swift,මගේ කාඩ් payment එක pending.,sinhala,0.391304347826087,False,0.9007281
1626,"I was double charged, and the second charge is showing as ""pending"". How long will it be before I get my money back once the second charge has been refunded?",swift,"මට දෙපාරක් charge කළා, දෙවෙනි charge එක ""pending"" විදියට තියෙනවා. දෙවෙනි charge එක refund වුනාට පස්සේ මගේ සල්ලි ආපහු ලැබෙන්නේ කොච්චර වෙලාවකින්ද?",sinhala,0.7372881355932204,False,0.8910591
1659,"lost phone, can i still access account?",swift,"phone එක නැති කළා, තාම account එකට access වෙන්න පුළුවන්ද?",sinhala,0.6086956521739131,False,0.9464898
1685,I need a refund on an item I have not received.  Am I able to simply cancel the payment?  I don't know how to do this.,swift,මට ලැබුනේ නැති item එකකට refund එකක් ඕනේ. payment එක simple ව cancel කරගන්න පුළුවන්ද? ඒක කරන්නේ කොහොමද කියලා දන්නේ නෑ.,sinhala,0.6947368421052632,False,0.913151
1699,I bought something but now I would like a refund. How do I do that?,swift,මම මොකක් හරි ගත්තා ඒත් දැන් refund එකක් ඕනේ. ඒක කරන්නේ කොහොමද?,sinhala,0.8775510204081632,False,0.89291894
1739,When I try and to buy something using my card it keeps getting declined.,swift,මම මගේ කාඩ් එකෙන් මොකක් හරි ගන්න try කරද්දි ඒක decline වෙනවා.,sinhala,0.7959183673469388,False,0.8001125
1779,"i was supposed to get a refund but my balance hasn't changed, why not?",swift,"මට refund එකක් ලැබෙන්න ඕනේ වුනා ඒත් මගේ balance එක වෙනස් වුනේ නෑ, ඇයි?",sinhala,0.7636363636363637,False,0.9047127
1819,Why are you declining my payment? Everything was fine.,swift,ඔයාලා මගේ payment එක decline කරන්නේ ඇයි? ඔක්කොම හරි තිබුනා.,sinhala,0.7083333333333334,False,0.84433883
1859,When will the transfer go through?,swift,transfer එක go through වෙන්නේ කවදද?,sinhala,0.41379310344827586,False,0.93490136
1899,How do I get rid of my account ASAP?,swift,මගේ account එක ASAP ඉවත් කරගන්නේ කොහොමද?,sinhala,0.6666666666666666,False,0.87893355
1911,How do I delete my account?,swift,මගේ account එක delete කරන්නේ කොහොමද?,sinhala,0.5666666666666667,False,0.9220849
1934,My ATM got stuck and I'm not sure what to do.,swift,"මගේ ATM එක stuck වුනා, මම මොකද කරන්නද කියලා දන්නේ නෑ.",sinhala,0.8048780487804879,False,0.81394464
1939,ATM still has my card,swift,ATM එකේ තාම මගේ කාඩ් එක තියෙනවා,sinhala,0.88,False,0.8997046
1971,I have been charged twice,swift,මට දෙපාරක් charge කරලා,sinhala,0.6842105263157895,False,0.91539747
1979,I had a duplicate card and got charged twice. How do I resolve this?,swift,මට duplicate කාඩ් එකක් තිබුනා දෙපාරක් charge කළා. මේක resolve කරන්නේ කොහොමද?,sinhala,0.6507936507936508,False,0.90416926
2019,What is the source of my money?,swift,මගේ සල්ලි වල source එක මොකක්ද?,sinhala,0.75,False,0.8381809
2059,How many days does a transfer from the US take?,swift,US එකෙන් transfer එකකට දවස් කීයක් යනවද?,sinhala,0.6875,False,0.9340734
2099,I think my card payment had been return,swift,මගේ කාඩ් payment එක return වෙලා ඇති කියලා මම හිතනවා,sinhala,0.6904761904761905,False,0.9311604
2138,I want to choose a different PIN.,swift,මට වෙනස් PIN එකක් තෝරගන්න ඕනේ.,sinhala,0.875,False,0.8966093
2139,I would like to change my pin.,swift,මට මගේ pin එක වෙනස් කරගන්න ඕනේ.,sinhala,0.875,False,0.7619122
2144,How do I change my PIN?,swift,මගේ PIN එක වෙනස් කරන්නේ කොහොමද?,sinhala,0.88,False,0.9333863
2170,Why can't I transfer to a beneficiary?,swift,beneficiary කෙනෙකුට transfer කරන්න බැරි ඇයි?,sinhala,0.5,False,0.8613527
2172,What's the deal with no cryptocurrency on your app?,swift,ඔයාලගේ ඇප් එකේ cryptocurrency නැති එකේ deal එක මොකක්ද?,sinhala,0.6,False,0.93304694
2179,The money would not transfer to a beneficiary.,swift,beneficiary කෙනෙකුට සල්ලි transfer වුනේ නෑ.,sinhala,0.4864864864864865,False,0.85763127
2204,I had to pay in order to do a transfer,swift,transfer එකක් කරන්න මට ගෙවන්න ඕනේ වුනා,sinhala,0.75,False,0.9131864
2219,I'm not sure why I was charged an extra fee for transferring funds.,swift,funds transfer කරන්න මට අමතර ෆී එකක් අයකළේ ඇයි කියලා දන්නේ නෑ.,sinhala,0.74,False,0.8564624
2240,Will salary be received through this?,swift,මේකෙන් salary එක ලැබෙනවද?,sinhala,0.7142857142857143,False,0.8367859
2259,How can my friend send me money?,swift,මගේ යාළුවට මට සල්ලි එවන්නේ කොහොමද?,sinhala,1.0,False,0.9010532
2299,Why would a transfer fail?,swift,transfer එකක් fail වෙන්නේ ඇයි?,sinhala,0.52,False,0.9041467
2330,I NEED TO KNOW HOW TO TRANSFER MONEY INTO MY BANK ACCOUNT. PLEASE HELP,swift,මට BANK ACCOUNT එකට සල්ලි TRANSFER කරන්නේ කොහොමද කියලා දැනගන්න ඕනේ. ප්ලීස් උදව් කරන්න,sinhala,0.7323943661971831,False,0.8640166
2339,How can I transfer money from an outside bank?,swift,පිටත bank එකකින් සල්ලි transfer කරන්නේ කොහොමද?,sinhala,0.6923076923076923,False,0.9060201
2347,How do I send my account money through transfer?,swift,මගේ account එකට transfer හරහා සල්ලි යවන්නේ කොහොමද?,sinhala,0.6428571428571429,False,0.9117626
2350,I want to transfer from accounts in order to Top up. What are the steps necessary.,swift,Top up කරන්න මට accounts වලින් transfer කරන්න ඕනේ. ඕනේ steps මොනවද.,sinhala,0.5185185185185185,False,0.84681934
2379,How do I find the verification code for my top-up card?,swift,මගේ top-up card එකට verification code එක හොයාගන්නේ කොහොමද?,sinhala,0.4791666666666667,False,0.9123603
2419,May I have another card?,swift,මට තව කාඩ් එකක් තියාගන්න පුළුවන්ද?,sinhala,1.0,False,0.90642893
2459,"I want to top up using cash, where can I do that?",swift,"cash එකෙන් top up කරන්න ඕනේ, කොහෙදි ඒක කරන්නද?",sinhala,0.75,False,0.8482213
2463,How can I top up with cash?,swift,cash එකෙන් top up කරන්නේ කොහොමද?,sinhala,0.6538461538461539,False,0.8574992
2489,Is there a charge for physical cards,swift,physical cards වලට charge එකක් තියෙනවද,sinhala,0.42424242424242425,False,0.89217293
2499,Is a non-electronic card available as well,swift,non-electronic card එකකුත් available ද,sinhala,0.21212121212121213,False,0.8839342
2539,How can I fix a problem where my virtual card is rejected?,swift,මගේ virtual card එක reject වෙන ප්‍රොබ්ලම් එක fix කරන්නේ කොහොමද?,sinhala,0.6078431372549019,False,0.88934577
2555,Tell me why my virtual disposable card won't work.,swift,මගේ virtual disposable card එක වැඩ නොකරන්නේ ඇයි කියලා කියන්නද.,sinhala,0.5961538461538461,False,0.87903863
2571,Is there a fee for exchanging cash?,swift,cash exchange කරන්න ෆී එකක් තියෙනවද?,sinhala,0.6,False,0.82782865
2579,Can I make a withdraw if I am out of country from with out any fees at an ATM?,swift,මම රටින් එළියේ ඉන්නකොට fees නැතුව ATM එකකින් withdraw කරන්න පුළුවන්ද?,sinhala,0.7413793103448276,False,0.9113668
2613,how secure is a disposable virtual card,swift,disposable virtual card එකක් කොච්චර secure ද,sinhala,0.2894736842105263,False,0.92280865
2618,May I get a disposable virtual card as well?,swift,මටත් disposable virtual card එකක් ලබාගන්න පුළුවන්ද?,sinhala,0.5227272727272727,False,0.91320056
2619,Can i get a single use virtual card,swift,single use virtual card එකක් ලබාගන්න පුළුවන්ද,sinhala,0.48717948717948717,False,0.94012845
2659,I topped up but the app did not accept it.,swift,මම top up කළා ඇප් එක accept කළේ නෑ.,sinhala,0.5769230769230769,False,0.83111215
2699,My bank transfer is still not showing up in my account.,swift,මගේ bank transfer එක තාම මගේ account එකේ පේන්නේ නෑ.,sinhala,0.5365853658536586,False,0.8961282
2710,"I made a bank transfer a couple of hours ago from my local bank account.  It hasn't appeared, can you check to make sure it went through?",swift,"පැය කීපයකට කලින් මම local bank account එකෙන් bank transfer එකක් කළා. එය තාම පේන්නේ නෑ, ඒක go through වුනාද කියලා check කරන්නද?",sinhala,0.5841584158415841,False,0.89119625
2733,I have a strange cash withdrawal in my statement,swift,මගේ statement එකේ අමතක cash withdrawal එකක් තියෙනවා,sinhala,0.4772727272727273,False,0.7993586
2739,"It looks like someone else withdrew cash from my account, can you help?",swift,"වෙන කවුරු හරි මගේ account එකෙන් cash withdraw කළා වගේ, උදව් කරන්නද?",sinhala,0.6481481481481481,False,0.8699113
2749,What do I do if I notice a strange withdrawl in my statement?,swift,මගේ statement එකේ අමතක withdrawl එකක් දැක්කොත් මම මොකද කරන්නේ?,sinhala,0.6538461538461539,False,0.81194335
2773,Does it cost extra to exchange currencies?,swift,currencies exchange කරන්න අමතර cost එකක් යනවද?,sinhala,0.4358974358974359,False,0.9288452
2779,"If I want to exchange currency, will there be extras?",swift,"මට currency exchange කරන්න ඕනේ නම්, extras තියෙනවද?",sinhala,0.47619047619047616,False,0.87507623
2803,Any hidden fees associated with the international card if money is added?,swift,සල්ලි add කළොත් international card එකට hidden fees තියෙනවද?,sinhala,0.4,False,0.87962496
2819,Will I be charged if I use foreign bank card for top up?,swift,top up එකකට විදේශ bank card එකක් පාවිච්චි කළොත් මට charge කරයිද?,sinhala,0.6346153846153846,False,0.9106238
2858,I tried activating my bill of fare and it didn't workplace,swift,මගේ කාඩ් එක activate කරන්න try කළා වැඩ කළේ නෑ,sinhala,0.6944444444444444,False,0.71814424
2859,"I just got my card and want to use it, how do I activate my card?",swift,"මට දැන් තමයි කාඩ් එක ලැබුනේ, ඒක පාවිච්චි කරන්න ඕනේ, මගේ කාඩ් එක activate කරන්නේ කොහොමද?",sinhala,0.8840579710144928,False,0.8808824
2860,I have a new card and I want to activate it,swift,"මට අලුත් කාඩ් එකක් තියෙනවා, ඒක activate කරගන්න ඕනේ",sinhala,0.8048780487804879,False,0.9077602
2899,"I've notice I was charged for withdrawing cash, can you explain why?",swift,"cash withdraw කරද්දි මට charge කළා, ඇයි කියලා පැහැදිලි කරන්නද?",sinhala,0.6470588235294118,False,0.8046003
2939,"I will need to get a new card soon, how do I order?",swift,"අලුත් කාඩ් එකක් ඕනේ, fees සහ කොච්චර වෙලාවක් යනවද",sinhala,0.8974358974358975,False,0.67304945
2979,My top up is not working in Apple Pay.,swift,මගේ top up එක Apple Pay එකේ වැඩ කරන්නේ නෑ.,sinhala,0.59375,False,0.9233688
3019,What are the steps to verify my identity?,swift,මගේ identity එක verify කරන්න steps මොනවද?,sinhala,0.4411764705882353,False,0.9448197
3051,Where do I need to live to get support?,swift,support ලබාගන්න මම ජීවත් වෙන්න ඕනේ කොහෙද?,sinhala,0.7941176470588235,False,0.912254
3059,Can I get a card even if I live outside Sri Lanka?,swift,මම Sri Lanka එකෙන් එළියේ ජීවත් වුනත් කාඩ් එකක් ලබාගන්න පුළුවන්ද?,sinhala,0.8490566037735849,False,0.87242615
14,I am still waiting for my card after 1 week.  Is this ok?,gemini,සති 1ක් ගිියත් තාම මගේ card එක ලැබුණේ නැහැ. මේක සාමාන්‍ය දෙයක්ද?,sinhala,0.9183673469387755,False,0.753462
19,My card still hasn't arrived after 2 weeks. Is it lost?,gemini,සති 2ක් ගිියත් තාම මගේ card එක ආවේ නැහැ. ඒක නැතිවෙලාද?,sinhala,0.9024390243902439,False,0.90698075
45,"I received my new card, but I don't see it in the app anywhere.  What do I do?",gemini,"මගේ අලුත් card එක ලැබුණා, ඒත් app එකේ කිසිම තැනක ඒක පේන්න නැහැ. මම දැන් මොකද කරන්නේ?",sinhala,0.8923076923076924,False,0.87910146
52,How do I link one your card if I have one already?,gemini,"මං ළඟ දැනටමත් card එකක් තියෙනවා නම්, තව එකක් link කරන්නේ කොහොමද?",sinhala,0.8431372549019608,False,0.86800605
53,How do I add a card to the app?,gemini,app එකට card එකක් add කරන්නේ කොහොමද?,sinhala,0.6551724137931034,False,0.92407763
59,"I found my card, can I add it to the app?",gemini,"මගේ card එක හම්බවුණා, මට ඒක app එකට add කරගන්න පුළුවන්ද?",sinhala,0.7727272727272727,False,0.8917334
65,how do I link an already existing card?,gemini,දැනටමත් තියෙන card එකක් link කරගන්නේ කොහොමද?,sinhala,0.7837837837837838,False,0.9276707
99,Where do you get your exchange rates from?,gemini,ඔබලා exchange rates ගන්නේ කොහෙන්ද?,sinhala,0.5517241379310345,False,0.9146469
139,I purchased an item and the exchange rate I was given was incorrect.,gemini,"මම භාණ්ඩයක් මිලදී ගත්තා, ඒත් මට දුන්න exchange rate එක වැරදියයි.",sinhala,0.7692307692307693,False,0.84903187
156,How can I check the exchange rate applied to my transaction?,gemini,මගේ transaction එකට අදාළ exchange rate එක චෙක් කරගන්නේ කොහොමද?,sinhala,0.5576923076923077,False,0.88534105
179,What would be the reason there's an extra fee on my statement?,gemini,මගේ statement එකේ අමතර fee එකක් වැටී තියෙන්න හේතුව කුමක්ද?,sinhala,0.75,False,0.8932073
199,Can you please check why I am having this extra fee on my statement.,gemini,මගේ statement එකේ මේ අමතර fee එක වැටී ඇත්තේ ඇයිද යන්න කරුණාකර පරීක්ෂා කර දෙන්න.,sinhala,0.8125,False,0.8651125
