id,image_path,primary_language,scripts,condition,ground_truth
0004,screenshots/augmented/synthetic_bank_0004_lowres.png,Tamil,Tamil,low-resolution,"13:30
4G
Nova Mobile Banking
Secure transaction centre
URGENT
USD 530.48
நீங்கள் அறியாத பரிவர்த்தனை பதிவாகியுள்ளது.
Date & time
12 Mar 2024 • 08:04
Reference
NMB-2403-863422
Error code
AAG-693
Issue
Unauthorized transaction
Secure account
Back to activity"
0005,screenshots/synthetic_bank_0005.png,English,Latin,clean,"16:10
4G
Nova Mobile Banking
Secure transaction centre
URGENT
SGD 1,578.43
Freeze your stolen card immediately.
Date & time
11 Dec 2024 • 23:12
Reference
NMB-2412-214346
Error code
YWH-883
Issue
Card stolen
Freeze card
Back to activity"
0005,screenshots/augmented/synthetic_bank_0005_blur.png,English,Latin,blur,"16:10
4G
Nova Mobile Banking
Secure transaction centre
URGENT
SGD 1,578.43
Freeze your stolen card immediately.
Date & time
11 Dec 2024 • 23:12
Reference
NMB-2412-214346
Error code
YWH-883
Issue
Card stolen
Freeze card
Back to activity"
0005,screenshots/augmented/synthetic_bank_0005_rot.png,English,Latin,rotation,"16:10
4G
Nova Mobile Banking
Secure transaction centre
URGENT
SGD 1,578.43
Freeze your stolen card immediately.
Date & time
11 Dec 2024 • 23:12
Reference
NMB-2412-214346
Error code
YWH-883
Issue
Card stolen
Freeze card
Back to activity"
0005,screenshots/augmented/synthetic_bank_0005_lowres.png,English,Latin,low-resolution,"16:10
4G
Nova Mobile Banking
Secure transaction centre
URGENT
SGD 1,578.43
Freeze your stolen card immediately.
Date & time
11 Dec 2024 • 23:12
Reference
NMB-2412-214346
Error code
YWH-883
Issue
Card stolen
Freeze card
Back to activity"
0006,screenshots/synthetic_bank_0006.png,Mixed-language,Latin,clean,"16:00
4G
Nova Mobile Banking
Secure transaction centre
FAILED
USD 2,019.70
Salli transfer eka complete une naha. Money transfer complete aagala.
Date & time
01 Jun 2026 • 03:38
Reference
NMB-2606-804771
Error code
IOO-666
Issue
Transfer failed
Get help
Back to activity"
0006,screenshots/augmented/synthetic_bank_0006_blur.png,Mixed-language,Latin,blur,"16:00
4G
Nova Mobile Banking
Secure transaction centre
FAILED
USD 2,019.70
Salli transfer eka complete une naha. Money transfer complete aagala.
Date & time
01 Jun 2026 • 03:38
Reference
NMB-2606-804771
Error code
IOO-666
Issue
Transfer failed
Get help
Back to activity"
0006,screenshots/augmented/synthetic_bank_0006_rot.png,Mixed-language,Latin,rotation,"16:00
4G
Nova Mobile Banking
Secure transaction centre
FAILED
USD 2,019.70
Salli transfer eka complete une naha. Money transfer complete aagala.
Date & time
01 Jun 2026 • 03:38
Reference
NMB-2606-804771
Error code
IOO-666
Issue
Transfer failed
Get help
Back to activity"
0006,screenshots/augmented/synthetic_bank_0006_lowres.png,Mixed-language,Latin,low-resolution,"16:00
4G
Nova Mobile Banking
Secure transaction centre
FAILED
USD 2,019.70
Salli transfer eka complete une naha. Money transfer complete aagala.
Date & time
01 Jun 2026 • 03:38
Reference
NMB-2606-804771
Error code
IOO-666
Issue
Transfer failed
Get help
Back to activity"
0007,screenshots/synthetic_bank_0007.png,Sinhala,Sinhala,clean,"09:00
4G
Nova Mobile Banking
Secure transaction centre
DECLINED
EUR 476.18
ඔබගේ කාඩ් ගෙවීම ප්‍රතික්ෂේප විය.
Date & time
18 Mar 2025 • 02:56
Reference
NMB-2503-312052
Error code
XBG-791
Issue
Card payment declined
Get help
Back to activity"
0007,screenshots/augmented/synthetic_bank_0007_blur.png,Sinhala,Sinhala,blur,"09:00
4G
Nova Mobile Banking
Secure transaction centre
DECLINED
EUR 476.18
ඔබගේ කාඩ් ගෙවීම ප්‍රතික්ෂේප විය.
Date & time
18 Mar 2025 • 02:56
Reference
NMB-2503-312052
Error code
XBG-791
Issue
Card payment declined
Get help
Back to activity"
0007,screenshots/augmented/synthetic_bank_0007_rot.png,Sinhala,Sinhala,rotation,"09:00
4G
Nova Mobile Banking
Secure transaction centre
DECLINED
EUR 476.18
ඔබගේ කාඩ් ගෙවීම ප්‍රතික්ෂේප විය.
Date & time
18 Mar 2025 • 02:56
Reference
NMB-2503-312052
Error code
XBG-791
Issue
Card payment declined
Get help
Back to activity"
0007,screenshots/augmented/synthetic_bank_0007_lowres.png,Sinhala,Sinhala,low-resolution,"09:00
4G
Nova Mobile Banking
Secure transaction centre
DECLINED
EUR 476.18
ඔබගේ කාඩ් ගෙවීම ප්‍රතික්ෂේප විය.
Date & time
18 Mar 2025 • 02:56
Reference
NMB-2503-312052
Error code
XBG-791
Issue
Card payment declined
Get help
Back to activity"
0008,screenshots/synthetic_bank_0008.png,Sinhala,Sinhala,clean,"17:10
4G
Nova Mobile Banking
Secure transaction centre
DECLINED
EUR 2,092.88
ඔබගේ කාඩ් ගෙවීම ප්‍රතික්ෂේප විය.
Date & time
03 Dec 2024 • 00:12
Reference
NMB-2412-736013
Error code
JKP-663
Issue
Card payment declined
Get help
Back to activity"
0008,screenshots/augmented/synthetic_bank_0008_blur.png,Sinhala,Sinhala,blur,"17:10
4G
Nova Mobile Banking
Secure transaction centre
DECLINED
EUR 2,092.88
ඔබගේ කාඩ් ගෙවීම ප්‍රතික්ෂේප විය.
Date & time
03 Dec 2024 • 00:12
Reference
NMB-2412-736013
Error code
JKP-663
Issue
Card payment declined
Get help
Back to activity"
0008,screenshots/augmented/synthetic_bank_0008_rot.png,Sinhala,Sinhala,rotation,"17:10
4G
Nova Mobile Banking
Secure transaction centre
DECLINED
EUR 2,092.88
ඔබගේ කාඩ් ගෙවීම ප්‍රතික්ෂේප විය.
Date & time
03 Dec 2024 • 00:12
Reference
NMB-2412-736013
Error code
JKP-663
Issue
Card payment declined
Get help
Back to activity"
0008,screenshots/augmented/synthetic_bank_0008_lowres.png,Sinhala,Sinhala,low-resolution,"17:10
4G
Nova Mobile Banking
Secure transaction centre
DECLINED
EUR 2,092.88
ඔබගේ කාඩ් ගෙවීම ප්‍රතික්ෂේප විය.
Date & time
03 Dec 2024 • 00:12
Reference
NMB-2412-736013
Error code
JKP-663
Issue
Card payment declined
Get help
Back to activity"
0009,screenshots/synthetic_bank_0009.png,Tamil,Tamil,clean,"09:30
4G
Nova Mobile Banking
Secure transaction centre
FAILED
SGD 2,204.93
பணப் பரிமாற்றத்தை நிறைவு செய்ய முடியவில்லை.
Date & time
29 Apr 2025 • 16:51
Reference
NMB-2504-684776
Error code
SVP-109
Issue
Transfer failed
Get help
Back to activity"
0009,screenshots/augmented/synthetic_bank_0009_blur.png,Tamil,Tamil,blur,"09:30
4G
Nova Mobile Banking
Secure transaction centre
FAILED
SGD 2,204.93
பணப் பரிமாற்றத்தை நிறைவு செய்ய முடியவில்லை.
Date & time
29 Apr 2025 • 16:51
Reference
NMB-2504-684776
Error code
SVP-109
Issue
Transfer failed
Get help
Back to activity"
0009,screenshots/augmented/synthetic_bank_0009_rot.png,Tamil,Tamil,rotation,"09:30
4G
Nova Mobile Banking
Secure transaction centre
FAILED
SGD 2,204.93
பணப் பரிமாற்றத்தை நிறைவு செய்ய முடியவில்லை.
Date & time
29 Apr 2025 • 16:51
Reference
NMB-2504-684776
Error code
SVP-109
Issue
Transfer failed
Get help
Back to activity"
0009,screenshots/augmented/synthetic_bank_0009_lowres.png,Tamil,Tamil,low-resolution,"09:30
4G
Nova Mobile Banking
Secure transaction centre
FAILED
SGD 2,204.93
பணப் பரிமாற்றத்தை நிறைவு செய்ய முடியவில்லை.
Date & time
29 Apr 2025 • 16:51
Reference
NMB-2504-684776
Error code
SVP-109
Issue
Transfer failed
Get help
Back to activity"
0010,screenshots/synthetic_bank_0010.png,English,Latin,clean,"11:00
4G
Nova Mobile Banking
Secure transaction centre
FAILED
GBP 1,176.45
We could not complete this cash withdrawal.
Date & time
29 May 2024 • 10:31
Reference
NMB-2405-332573
Error code
DEO-702
Issue
Cash withdrawal failure
Get help
Back to activity"
0010,screenshots/augmented/synthetic_bank_0010_blur.png,English,Latin,blur,"11:00
4G
Nova Mobile Banking
Secure transaction centre
FAILED
GBP 1,176.45
We could not complete this cash withdrawal.
Date & time
29 May 2024 • 10:31
Reference
NMB-2405-332573
Error code
DEO-702
Issue
Cash withdrawal failure
Get help
Back to activity"
0010,screenshots/augmented/synthetic_bank_0010_rot.png,English,Latin,rotation,"11:00
4G
Nova Mobile Banking
Secure transaction centre
FAILED
GBP 1,176.45
We could not complete this cash withdrawal.
Date & time
29 May 2024 • 10:31
Reference
NMB-2405-332573
Error code
DEO-702
Issue
Cash withdrawal failure
Get help
Back to activity"
0010,screenshots/augmented/synthetic_bank_0010_lowres.png,English,Latin,low-resolution,"11:00
4G
Nova Mobile Banking
Secure transaction centre
FAILED
GBP 1,176.45
We could not complete this cash withdrawal.
Date & time
29 May 2024 • 10:31
Reference
NMB-2405-332573
Error code
DEO-702
Issue
Cash withdrawal failure
Get help
Back to activity"
0011,screenshots/synthetic_bank_0011.png,Tanglish,Latin,clean,"09:00
4G
Nova Mobile Banking
Secure transaction centre
PENDING
GBP 1,920.62
Balance innum update aagala.
Date & time
15 Jun 2024 • 06:30
Reference
NMB-2406-589452
Error code
TBZ-432
Issue
Balance not updated
Get help
Back to activity"
0011,screenshots/augmented/synthetic_bank_0011_blur.png,Tanglish,Latin,blur,"09:00
4G
Nova Mobile Banking
Secure transaction centre
PENDING
GBP 1,920.62
Balance innum update aagala.
Date & time
15 Jun 2024 • 06:30
Reference
NMB-2406-589452
Error code
TBZ-432
Issue
Balance not updated
Get help
Back to activity"
0011,screenshots/augmented/synthetic_bank_0011_rot.png,Tanglish,Latin,rotation,"09:00
4G
Nova Mobile Banking
Secure transaction centre
PENDING
GBP 1,920.62
Balance innum update aagala.
Date & time
15 Jun 2024 • 06:30
Reference
NMB-2406-589452
Error code
TBZ-432
Issue
Balance not updated
Get help
Back to activity"
0011,screenshots/augmented/synthetic_bank_0011_lowres.png,Tanglish,Latin,low-resolution,"09:00
4G
Nova Mobile Banking
Secure transaction centre
PENDING
GBP 1,920.62
Balance innum update aagala.
Date & time
15 Jun 2024 • 06:30
Reference
NMB-2406-589452
Error code
TBZ-432
Issue
Balance not updated
Get help
Back to activity"
0012,screenshots/synthetic_bank_0012.png,Mixed-language,Latin,clean,"19:30
4G
Nova Mobile Banking
Secure transaction centre
URGENT
EUR 1,581.12
Mama nodanna transaction ekak thiyenawa. Enakku theriyatha transaction irukku.
Date & time
09 Apr 2026 • 22:26
Reference
NMB-2604-238890
Error code
ZBT-506
Issue
Unauthorized transaction
Secure account
Back to activity"
0012,screenshots/augmented/synthetic_bank_0012_blur.png,Mixed-language,Latin,blur,"19:30
4G
Nova Mobile Banking
Secure transaction centre
URGENT
EUR 1,581.12
Mama nodanna transaction ekak thiyenawa. Enakku theriyatha transaction irukku.
Date & time
09 Apr 2026 • 22:26
Reference
NMB-2604-238890
Error code
ZBT-506
Issue
Unauthorized transaction
Secure account
Back to activity"
0012,screenshots/augmented/synthetic_bank_0012_rot.png,Mixed-language,Latin,rotation,"19:30
4G
Nova Mobile Banking
Secure transaction centre
URGENT
EUR 1,581.12
Mama nodanna transaction ekak thiyenawa. Enakku theriyatha transaction irukku.
Date & time
09 Apr 2026 • 22:26
Reference
NMB-2604-238890
Error code
ZBT-506
Issue
Unauthorized transaction
Secure account
Back to activity"
0012,screenshots/augmented/synthetic_bank_0012_lowres.png,Mixed-language,Latin,low-resolution,"19:30
4G
Nova Mobile Banking
Secure transaction centre
URGENT
EUR 1,581.12
Mama nodanna transaction ekak thiyenawa. Enakku theriyatha transaction irukku.
Date & time
09 Apr 2026 • 22:26
Reference
NMB-2604-238890
Error code
ZBT-506
Issue
Unauthorized transaction
Secure account
Back to activity"
0013,screenshots/synthetic_bank_0013.png,Tamil,Tamil,clean,"22:05
4G
Nova Mobile Banking
Secure transaction centre
REVIEW
EUR 1,775.63
பணம் எடுத்த கட்டணம் தவறாக இருக்கலாம்.
Date & time
18 Jul 2024 • 12:22
Reference
NMB-2407-957078
Error code
DKU-839
Issue
Cash withdrawal charged incorrectly
Get help
Back to activity"
0013,screenshots/augmented/synthetic_bank_0013_blur.png,Tamil,Tamil,blur,"22:05
4G
Nova Mobile Banking
Secure transaction centre
REVIEW
EUR 1,775.63
பணம் எடுத்த கட்டணம் தவறாக இருக்கலாம்.
Date & time
18 Jul 2024 • 12:22
Reference
NMB-2407-957078
Error code
DKU-839
Issue
Cash withdrawal charged incorrectly
Get help
Back to activity"
0013,screenshots/augmented/synthetic_bank_0013_rot.png,Tamil,Tamil,rotation,"22:05
4G
Nova Mobile Banking
Secure transaction centre
REVIEW
EUR 1,775.63
பணம் எடுத்த கட்டணம் தவறாக இருக்கலாம்.
Date & time
18 Jul 2024 • 12:22
Reference
NMB-2407-957078
Error code
DKU-839
Issue
Cash withdrawal charged incorrectly
Get help
Back to activity"
0013,screenshots/augmented/synthetic_bank_0013_lowres.png,Tamil,Tamil,low-resolution,"22:05
4G
Nova Mobile Banking
Secure transaction centre
REVIEW
EUR 1,775.63
பணம் எடுத்த கட்டணம் தவறாக இருக்கலாம்.
Date & time
18 Jul 2024 • 12:22
Reference
NMB-2407-957078
Error code
DKU-839
Issue
Cash withdrawal charged incorrectly
Get help
Back to activity"
0014,screenshots/synthetic_bank_0014.png,English,Latin,clean,"11:10
4G
Nova Mobile Banking
Secure transaction centre
FAILED
EUR 1,116.34
We could not complete this cash withdrawal.
Date & time
07 Sep 2024 • 23:08
Reference
NMB-2409-192098
Error code
UVB-184
Issue
Cash withdrawal failure
Get help
Back to activity"
0014,screenshots/augmented/synthetic_bank_0014_blur.png,English,Latin,blur,"11:10
4G
Nova Mobile Banking
Secure transaction centre
FAILED
EUR 1,116.34
We could not complete this cash withdrawal.
Date & time
07 Sep 2024 • 23:08
Reference
NMB-2409-192098
Error code
UVB-184
Issue
Cash withdrawal failure
Get help
Back to activity"
0014,screenshots/augmented/synthetic_bank_0014_rot.png,English,Latin,rotation,"11:10
4G
Nova Mobile Banking
Secure transaction centre
FAILED
EUR 1,116.34
We could not complete this cash withdrawal.
Date & time
07 Sep 2024 • 23:08
Reference
NMB-2409-192098
Error code
UVB-184
Issue
Cash withdrawal failure
Get help
Back to activity"
0014,screenshots/augmented/synthetic_bank_0014_lowres.png,English,Latin,low-resolution,"11:10
4G
Nova Mobile Banking
Secure transaction centre
FAILED
EUR 1,116.34
We could not complete this cash withdrawal.
Date & time
07 Sep 2024 • 23:08
Reference
NMB-2409-192098
Error code
UVB-184
Issue
Cash withdrawal failure
Get help
Back to activity"
0015,screenshots/synthetic_bank_0015.png,Singlish,Latin,clean,"14:00
4G
Nova Mobile Banking
Secure transaction centre
FAILED
USD 924.77
Beneficiary add karanna bari una.
Date & time
09 Dec 2024 • 18:58
Reference
NMB-2412-494711
Error code
LAE-270
Issue
Beneficiary not added
Get help
Back to activity"
0015,screenshots/augmented/synthetic_bank_0015_blur.png,Singlish,Latin,blur,"14:00
4G
Nova Mobile Banking
Secure transaction centre
FAILED
USD 924.77
Beneficiary add karanna bari una.
Date & time
09 Dec 2024 • 18:58
Reference
NMB-2412-494711
Error code
LAE-270
Issue
Beneficiary not added
Get help
Back to activity"
0015,screenshots/augmented/synthetic_bank_0015_rot.png,Singlish,Latin,rotation,"14:00
4G
Nova Mobile Banking
Secure transaction centre
FAILED
USD 924.77
Beneficiary add karanna bari una.
Date & time
09 Dec 2024 • 18:58
Reference
NMB-2412-494711
Error code
LAE-270
Issue
Beneficiary not added
Get help
Back to activity"
0015,screenshots/augmented/synthetic_bank_0015_lowres.png,Singlish,Latin,low-resolution,"14:00
4G
Nova Mobile Banking
Secure transaction centre
FAILED
USD 924.77
Beneficiary add karanna bari una.
Date & time
09 Dec 2024 • 18:58
Reference
NMB-2412-494711
Error code
LAE-270
Issue
Beneficiary not added
Get help
Back to activity"
0016,screenshots/synthetic_bank_0016.png,Tamil,Tamil,clean,"14:00
4G
Nova Mobile Banking
Secure transaction centre
FAILED
LKR 2,391.16
பணப் பரிமாற்றத்தை நிறைவு செய்ய முடியவில்லை.
Date & time
20 Jul 2024 • 21:54
Reference
NMB-2407-785875
Error code
MVB-274
Issue
Transfer failed
Get help
Back to activity"
0016,screenshots/augmented/synthetic_bank_0016_blur.png,Tamil,Tamil,blur,"14:00
4G
Nova Mobile Banking
Secure transaction centre
FAILED
LKR 2,391.16
பணப் பரிமாற்றத்தை நிறைவு செய்ய முடியவில்லை.
Date & time
20 Jul 2024 • 21:54
Reference
NMB-2407-785875
Error code
MVB-274
Issue
Transfer failed
Get help
Back to activity"
0016,screenshots/augmented/synthetic_bank_0016_rot.png,Tamil,Tamil,rotation,"14:00
4G
Nova Mobile Banking
Secure transaction centre
FAILED
LKR 2,391.16
பணப் பரிமாற்றத்தை நிறைவு செய்ய முடியவில்லை.
Date & time
20 Jul 2024 • 21:54
Reference
NMB-2407-785875
Error code
MVB-274
Issue
Transfer failed
Get help
Back to activity"
0016,screenshots/augmented/synthetic_bank_0016_lowres.png,Tamil,Tamil,low-resolution,"14:00
4G
Nova Mobile Banking
Secure transaction centre
FAILED
LKR 2,391.16
பணப் பரிமாற்றத்தை நிறைவு செய்ய முடியவில்லை.
Date & time
20 Jul 2024 • 21:54
Reference
NMB-2407-785875
Error code
MVB-274
Issue
Transfer failed
Get help
Back to activity"
0017,screenshots/synthetic_bank_0017.png,Singlish,Latin,clean,"18:45
4G
Nova Mobile Banking
Secure transaction centre
FAILED
EUR 2,354.66
Salli ganna transaction eka fail una.
Date & time
19 Oct 2025 • 07:51
Reference
NMB-2510-236742
Error code
VJA-460
Issue
Cash withdrawal failure
Get help
Back to activity"
0017,screenshots/augmented/synthetic_bank_0017_blur.png,Singlish,Latin,blur,"18:45
4G
Nova Mobile Banking
Secure transaction centre
FAILED
EUR 2,354.66
Salli ganna transaction eka fail una.
Date & time
19 Oct 2025 • 07:51
Reference
NMB-2510-236742
Error code
VJA-460
Issue
Cash withdrawal failure
Get help
Back to activity"
0017,screenshots/augmented/synthetic_bank_0017_rot.png,Singlish,Latin,rotation,"18:45
4G
Nova Mobile Banking
Secure transaction centre
FAILED
EUR 2,354.66
Salli ganna transaction eka fail una.
Date & time
19 Oct 2025 • 07:51
Reference
NMB-2510-236742
Error code
VJA-460
Issue
Cash withdrawal failure
Get help
Back to activity"
0017,screenshots/augmented/synthetic_bank_0017_lowres.png,Singlish,Latin,low-resolution,"18:45
4G
Nova Mobile Banking
Secure transaction centre
FAILED
EUR 2,354.66
Salli ganna transaction eka fail una.
Date & time
19 Oct 2025 • 07:51
Reference
NMB-2510-236742
Error code
VJA-460
Issue
Cash withdrawal failure
Get help
Back to activity"
0018,screenshots/synthetic_bank_0018.png,Tanglish,Latin,clean,"10:00
4G
Nova Mobile Banking
Secure transaction centre
PENDING
SGD 2,388.22
Refund innum pending-la irukku.
Date & time
18 Nov 2025 • 12:14
Reference
NMB-2511-738032
Error code
OLD-722
Issue
Refund pending
Get help
Back to activity"
0018,screenshots/augmented/synthetic_bank_0018_blur.png,Tanglish,Latin,blur,"10:00
4G
Nova Mobile Banking
Secure transaction centre
PENDING
SGD 2,388.22
Refund innum pending-la irukku.
Date & time
18 Nov 2025 • 12:14
Reference
NMB-2511-738032
Error code
OLD-722
Issue
Refund pending
Get help
Back to activity"
0018,screenshots/augmented/synthetic_bank_0018_rot.png,Tanglish,Latin,rotation,"10:00
4G
Nova Mobile Banking
Secure transaction centre
PENDING
SGD 2,388.22
Refund innum pending-la irukku.
Date & time
18 Nov 2025 • 12:14
Reference
NMB-2511-738032
Error code
OLD-722
Issue
Refund pending
Get help
Back to activity"
0018,screenshots/augmented/synthetic_bank_0018_lowres.png,Tanglish,Latin,low-resolution,"10:00
4G
Nova Mobile Banking
Secure transaction centre
PENDING
SGD 2,388.22
Refund innum pending-la irukku.
Date & time
18 Nov 2025 • 12:14
Reference
NMB-2511-738032
Error code
OLD-722
Issue
Refund pending
Get help
Back to activity"
0019,screenshots/synthetic_bank_0019.png,English,Latin,clean,"08:10
4G
Nova Mobile Banking
Secure transaction centre
PENDING
EUR 1,496.53
Your transfer is still being processed.
Date & time
30 Jul 2024 • 04:37
Reference
NMB-2407-739324
Error code
DPG-835
Issue
Transfer pending
Get help
Back to activity"
0019,screenshots/augmented/synthetic_bank_0019_blur.png,English,Latin,blur,"08:10
4G
Nova Mobile Banking
Secure transaction centre
PENDING
EUR 1,496.53
Your transfer is still being processed.
Date & time
30 Jul 2024 • 04:37
Reference
NMB-2407-739324
Error code
DPG-835
Issue
Transfer pending
Get help
Back to activity"
0019,screenshots/augmented/synthetic_bank_0019_rot.png,English,Latin,rotation,"08:10
4G
Nova Mobile Banking
Secure transaction centre
PENDING
EUR 1,496.53
Your transfer is still being processed.
Date & time
30 Jul 2024 • 04:37
Reference
NMB-2407-739324
Error code
DPG-835
Issue
Transfer pending
Get help
Back to activity"
0019,screenshots/augmented/synthetic_bank_0019_lowres.png,English,Latin,low-resolution,"08:10
4G
Nova Mobile Banking
Secure transaction centre
PENDING
EUR 1,496.53
Your transfer is still being processed.
Date & time
30 Jul 2024 • 04:37
Reference
NMB-2407-739324
Error code
DPG-835
Issue
Transfer pending
Get help
Back to activity"
0020,screenshots/synthetic_bank_0020.png,English,Latin,clean,"22:30
4G
Nova Mobile Banking
Secure transaction centre
URGENT
GBP 525.34
Freeze your stolen card immediately.
Date & time
18 Jan 2024 • 03:04
Reference
NMB-2401-969160
Error code
JGM-520
Issue
Card stolen
Freeze card
Back to activity"
0020,screenshots/augmented/synthetic_bank_0020_blur.png,English,Latin,blur,"22:30
4G
Nova Mobile Banking
Secure transaction centre
URGENT
GBP 525.34
Freeze your stolen card immediately.
Date & time
18 Jan 2024 • 03:04
Reference
NMB-2401-969160
Error code
JGM-520
Issue
Card stolen
Freeze card
Back to activity"
0020,screenshots/augmented/synthetic_bank_0020_rot.png,English,Latin,rotation,"22:30
4G
Nova Mobile Banking
Secure transaction centre
URGENT
GBP 525.34
Freeze your stolen card immediately.
Date & time
18 Jan 2024 • 03:04
Reference
NMB-2401-969160
Error code
JGM-520
Issue
Card stolen
Freeze card
Back to activity"
