type,id,details
exact_text_in_train_and_test,N/A,identity verification ekata kalin transfers karanna puluvanda?
exact_text_in_train_and_test,N/A,mata virtual card ekak labaganna puluvanda?
exact_text_in_train_and_test,N/A,சர்வதேச அட்டை மூலம் பணம் சேர்ப்பதற்கு கட்டணங்கள் உண்டா?
exact_text_in_train_and_test,N/A,අලුත් කාඩ් එකක් activate කරන්නේ කොහොමද?
exact_text_in_train_and_test,N/A,passcode eka reset karanne kohomada?
exact_text_in_train_and_test,N/A,මගේ identity එක verify කරගන්නේ කොහොමද?
exact_text_in_train_and_test,N/A,top-up verification code එක හොයාගන්නේ කොහොමද?
exact_text_in_train_and_test,N/A,mage card eka accept karana tan monavada?
exact_text_in_train_and_test,N/A,cash ගන්න බැරි ඇයි?
exact_text_in_train_and_test,N/A,ஒரு பரிவர்த்தனையை ரத்து செய்ய முடியுமா?
exact_text_in_train_and_test,N/A,කාඩ් එක එන්න කොච්චර වෙලා යනවද?
exact_text_in_train_and_test,N/A,mage card eka dan vada karanne naa.
exact_text_in_train_and_test,N/A,cheque ekakin top up karaganna puluvanda?
exact_text_in_train_and_test,N/A,பணப்பரிமாற்றம் எப்போது நிறைவடையும்?
exact_text_in_train_and_test,N/A,நான் தான் அது என்பதை இந்தச் செயலி நம்பவில்லை.
exact_text_in_train_and_test,N/A,virtual card ekak labaganne kohenda?
exact_text_in_train_and_test,N/A,mage account ekata salli transfer karanne kohomada?
exact_text_in_train_and_test,N/A,මගේ funds එන්නේ කොහෙන්ද?
exact_text_in_train_and_test,N/A,Card PIN enga iruku?
exact_text_in_train_and_test,N/A,எனது டொப்-அப் ஏன் வேலை செய்யவில்லை?
exact_text_in_train_and_test,N/A,எனது பணப் பரிமாற்றம் ஏன் நிராகரிக்கப்பட்டது?
exact_text_in_train_and_test,N/A,මට virtual card එකක් ඕනේ!
exact_text_in_train_and_test,N/A,How do I unblock my PIN?
exact_text_in_train_and_test,N/A,mage virtual card eka vada karanne naa.
exact_text_in_train_and_test,N/A,අලුත් කාඩ් එකක් ලින්ක් කරන්නේ කොහොමද?
exact_text_in_train_and_test,N/A,மிக அருகிலுள்ள மாஸ்டர்கார்ட் ஏடிஎம் எங்கே உள்ளது?
exact_text_in_train_and_test,N/A,mata transfer ekak cancel karaganna one
exact_text_in_train_and_test,N/A,me card eka accept karana businesses monavada?
exact_text_in_train_and_test,N/A,ඔයාලා support කරන countries මොනවද?
exact_text_in_train_and_test,N/A,எனது கணக்கு அறிக்கையில் ஒரு விசித்திரமான கொடுப்பனவு உள்ளது.
exact_text_in_train_and_test,N/A,exchange rate eka hoyaganne kohomada?
exact_text_in_train_and_test,N/A,mata disposable cards kiyak tiyaganna puluvanda?
exact_text_in_train_and_test,N/A,මට තාම virtual card එකක් ලැබුනේ නැත්තේ ඇයි?
exact_text_in_train_and_test,N/A,டொப்-அப்களுக்கு ஏதேனும் கட்டணங்கள் உண்டா?
exact_text_in_train_and_test,N/A,mage card eka ona tanaka pavichchi karanna puluvanda?
exact_text_in_train_and_test,N/A,මගේ කාඩ් එක දැන් වැඩ කරන්නේ නෑ.
exact_text_in_train_and_test,N/A,ஏடிஎம் எனது அட்டையை எடுத்துக்கொண்டது.
exact_text_in_train_and_test,N/A,Top-up ellai enna?
exact_text_in_train_and_test,N/A,මගේ funds source එක verify කරන්න ඕනේ.
exact_text_in_train_and_test,N/A,card eka enna kochchara vela yanavada?
exact_text_in_train_and_test,N/A,பணத்தைத் திரும்பப் பெற நான் என்ன செய்ய வேண்டும்?
exact_text_in_train_and_test,N/A,mata pending payment ekak tiyenne ayi?
exact_text_in_train_and_test,N/A,top-up verification code eka hoyaganne kohomada?
exact_text_in_train_and_test,N/A,mage top up eka vada nokale ayi?
exact_text_in_train_and_test,N/A,ஏதேனும் ஏடிஎம் (ATM) இயந்திரங்களில் எனது பின் (PIN) இலக்கத்தை மாற்ற முடியுமா?
exact_text_in_train_and_test,N/A,பணப் பரிமாற்றம் ஏன் நிராகரிக்கப்பட்டது?
exact_text_in_train_and_test,N/A,මගේ කාඩ් එක ඕන තැනක පාවිච්චි කරන්න පුළුවන්ද?
exact_text_in_train_and_test,N/A,நான் ஏன் எனது அடையாளத்தை உறுதிப்படுத்த வேண்டும்?
exact_text_in_train_and_test,N/A,எனது கொடுப்பனவு ஏன் நிராகரிக்கப்பட்டது?
exact_text_in_train_and_test,N/A,shop ekakadi mage card eka vada kale naa.
exact_text_in_train_and_test,N/A,card PIN eka tiyenne koheda?
exact_text_in_train_and_test,N/A,At which ATMs can I use this card?
exact_text_in_train_and_test,N/A,Enoda card vela seiyala.
exact_text_in_train_and_test,N/A,මට pending payment එකක් තියෙන්නේ ඇයි?
exact_text_in_train_and_test,N/A,எனது அட்டையை நான் எங்கு பயன்படுத்தலாம் என்பதில் ஏதேனும் கட்டுப்பாடுகள் உள்ளனவா?
exact_text_in_train_and_test,N/A,Refund process enna?
exact_text_in_train_and_test,N/A,මගේ funds එන්නේ කොහෙන්ද කියලා දැනගන්නේ කොහොමද?
exact_text_in_train_and_test,N/A,நான் எவ்வளவு டொப்-அப் செய்ய முடியும்?
exact_text_in_train_and_test,N/A,cheque ekakin top up karanna puluvanda?
exact_text_in_train_and_test,N/A,இந்தச் செயலியைப் பயன்படுத்தி நான் எவ்வாறு நாணயங்களை மாற்றுவது?
exact_text_in_train_and_test,N/A,"எனது அட்டையைச் செயற்படுத்த முயன்றேன், ஆனால் அது வேலை செய்யவில்லை."
exact_text_in_train_and_test,N/A,இது எனது அடையாளத்தை உறுதிப்படுத்த என்னை அனுமதிக்கவில்லை.
exact_text_in_train_and_test,N/A,මගේ කාඩ් PIN එක හොයාගන්නේ කොහොමද?
exact_text_in_train_and_test,N/A,எனது கடவுச்சொல் வேலை செய்யவில்லை.
exact_text_in_train_and_test,N/A,exchange fee eka mokakda?
exact_text_in_train_and_test,N/A,What businesses accept this card?
exact_text_in_train_and_test,N/A,මගේ account එක delete කරන්න ඕනේ.
exact_text_in_train_and_test,N/A,මේ කාඩ් එක accept කරන businesses මොනවද?
exact_text_in_train_and_test,N/A,මගේ identity එක verify කරන්නේ කොහොමද?
exact_text_in_train_and_test,N/A,US cards valata top up charges monavada?
exact_text_in_train_and_test,N/A,top ups valata kisi fees ekak tiyenavada?
exact_text_in_train_and_test,N/A,top ups වලට limit එකක් තියෙනවද?
exact_text_in_train_and_test,N/A,அடையாளச் சோதனை என்றால் என்ன?
exact_text_in_train_and_test,N/A,எனது டொப்-அப் ஏன் வெற்றிகரமாக முடியவில்லை?
exact_text_in_train_and_test,N/A,எனது அட்டையை நான் எங்கே பயன்படுத்தலாம்?
exact_text_in_train_and_test,N/A,දවසකට disposable cards කීපයක් හදන්න පුළුවන්ද?
exact_text_in_train_and_test,N/A,exchange fee එක මොකක්ද?
exact_text_in_train_and_test,N/A,Google Pay එකෙන් top up කරන්නේ කොහොමද?
exact_text_in_train_and_test,N/A,mage funds verify karaganna one.
exact_text_in_train_and_test,N/A,நாணயங்களை மாற்றுவதற்கு எவ்வளவு செலவாகும்?
exact_text_in_train_and_test,N/A,cheque එකකින් top up කරන්න බැරි ඇයි?
exact_text_in_train_and_test,N/A,top ups වලට කිසි fees එකක් තියෙනවද?
exact_text_in_train_and_test,N/A,mage credit card ekata salli transfer karanna puluvanda?
exact_text_in_train_and_test,N/A,mage card eka enne kavadada?
exact_text_in_train_and_test,N/A,US credit cards accept කරනවද?
exact_text_in_train_and_test,N/A,මගේ කාඩ් එක පාවිච්චි කරන්නේ කොහෙද?
exact_text_in_train_and_test,N/A,virtual card එකක් ලබාගන්න විදියක් තියෙනවද?
exact_text_in_train_and_test,N/A,என்னால் அட்டையின் பின் (PIN) இலக்கத்தைக் கண்டறிய முடியவில்லை.
exact_text_in_train_and_test,N/A,සල්ලි withdraw කරන්නේ කොහොමද?
exact_text_in_train_and_test,N/A,கார்ட் மூலம் நான் எவ்வாறு டொப்-அப் செய்வது?
exact_text_in_train_and_test,N/A,oyala Visa ho Mastercard accept karanavada?
exact_text_in_train_and_test,N/A,top-ups valata limits tiyenavada?
exact_text_in_train_and_test,N/A,mage yaluvanta mage account eka top up karanna puluvanda?
exact_text_in_train_and_test,N/A,mage card eka pavichchi karanne koheda?
exact_text_in_train_and_test,N/A,எனது காண்டாக்ட்லெஸ் ஏன் வேலை செய்யவில்லை?
exact_text_in_train_and_test,N/A,"There are a few transaction that I don't recognize, I think someone managed to get my card details a"
exact_text_in_train_and_test,N/A,මගේ කාඩ් එක වැඩ කරන්නේ නෑ
exact_text_in_train_and_test,N/A,mage credit card eken salli transfer karanne kohomada?
exact_text_in_train_and_test,N/A,எனது பின் (PIN) இலக்கம் எங்கே உள்ளது?
exact_text_in_train_and_test,N/A,எனது கொடுப்பனவு ஏன் நிலுவையில் உள்ளது?
exact_text_in_train_and_test,N/A,எனது தனிப்பட்ட விபரங்களை மாற்ற விரும்புகிறேன்.
exact_text_in_train_and_test,N/A,salli withdraw karanne kohomada?
exact_text_in_train_and_test,N/A,நாணயமாற்றுக் கட்டணம் எவ்வளவு?
exact_text_in_train_and_test,N/A,මගේ top up එක වැඩ නොකළේ ඇයි?
exact_text_in_train_and_test,N/A,பின் (PIN) இலக்கம் தனியாக விநியோகிக்கப்படுகிறதா?
exact_text_in_train_and_test,N/A,எனது டொப்-அப் வேலை செய்யவில்லை.
exact_text_in_train_and_test,N/A,මගේ කාඩ් එක ඕනම තැනක පාවිච්චි කරන්න පුළුවන්ද?
exact_text_in_train_and_test,N/A,virtual card එකක් ගන්නේ කොහොමද?
exact_text_in_train_and_test,N/A,mage card eka onama tanaka pavichchi karanna puluvanda?
exact_text_in_train_and_test,N/A,oyala support karana countries monavada?
exact_text_in_train_and_test,N/A,mage virtual card eka vada nokaranne ayi?
exact_text_in_train_and_test,N/A,credit card eken salli transfer karanne kohomada?
exact_text_in_train_and_test,N/A,මගේ identity එක verify කරන්නේ කොහෙද?
exact_text_in_train_and_test,N/A,நான் கேட்ட முழுப் பணமும் எனக்குக் கிடைக்கவில்லை.
exact_text_in_train_and_test,N/A,virtual card එකක් ලබාගන්නේ කොහෙන්ද?
exact_text_in_train_and_test,N/A,நான் SWIFT மூலம் பரிமாற்றம் செய்யலாமா?
exact_text_in_train_and_test,N/A,මගේ යාළුවන්ට මගේ account එක top up කරන්න පුළුවන්ද?
exact_text_in_train_and_test,N/A,நான் பணம் எடுப்பது ஏன் நிராகரிக்கப்பட்டது?
exact_text_in_train_and_test,N/A,disposable virtual card ekak labaganne kohomada?
exact_text_in_train_and_test,N/A,mage funds enne kohenda kiyala danaganne kohomada?
exact_text_in_train_and_test,N/A,card eken top up karanne kohomada?
exact_text_in_train_and_test,N/A,US cards වලට top up charges මොනවද?
exact_text_in_train_and_test,N/A,mage passcode eka amataka vunot mama mokada karanne?
exact_text_in_train_and_test,N/A,நீங்கள் விசா அல்லது மாஸ்டர்கார்ட் வழங்குகிறீர்களா?
exact_text_in_train_and_test,N/A,எனது அடையாளத்தை உறுதிப்படுத்த நான் எதைப் பயன்படுத்தலாம்?
