annotation_id,annotator,category,created_at,id_gold,lead_time,priority_gold,row_id,sentiment_gold,text,updated_at,id_v5,sentiment_v5,priority_v5,sentiment_pred
82,1,exchange_rate,2026-07-23T02:44:48.458151Z,13,3.978,Low,365,Neutral,Will I know which exchange rate I will get?,2026-07-23T02:44:48.458162Z,365,Neutral,Low,Neutral
83,1,card_about_to_expire,2026-07-23T02:44:54.877353Z,14,6.301,Low,9583,Neutral,want a new card what are the fees,2026-07-23T02:44:54.877371Z,9583,Neutral,Low,Neutral
84,1,virtual_card_not_working,2026-07-23T02:45:03.526465Z,15,8.517,Medium,8183,Neutral,I can't use my virtual disposable card,2026-07-23T02:45:03.526483Z,8183,Neutral,Medium,Neutral
85,1,declined_transfer,2026-07-23T02:45:16.475241Z,16,12.831,Medium,5653,Neutral,"please help me with this transfer, for some reason i can't transfer to a cryptocurency account",2026-07-23T02:45:16.475255Z,5653,Neutral,Medium,Neutral
86,1,pending_top_up,2026-07-23T02:45:24.026431Z,17,7.429,Medium,2008,Neutral,Why is the top-up I made still pending.,2026-07-23T02:45:24.026445Z,2008,Neutral,Low,Negative
87,1,card_linking,2026-07-23T02:45:34.865092Z,18,10.719,Low,254,Neutral,"I found my card that I thought I had lost, I need to reactive it, please help.",2026-07-23T02:45:34.865103Z,254,Neutral,Low,Neutral
88,1,declined_card_payment,2026-07-23T02:45:40.541558Z,19,5.542,High,5878,Negative,"I was just shopping and my payment was declined in a store!  It was very embarrassing, what is going on and when will it be fixed?",2026-07-23T02:45:40.541573Z,5878,Negative,Medium,Negative
89,1,lost_or_stolen_card,2026-07-23T02:45:47.499443Z,20,6.835,Low,1502,Neutral,Are you able to guide me to my card's location?,2026-07-23T02:45:47.499458Z,1502,Neutral,High,Neutral
90,1,wrong_exchange_rate_for_cash_withdrawal,2026-07-23T02:45:53.673778Z,21,6.044,Medium,8318,Neutral,The applied exchange rate is wrong for the cash I got abroad.,2026-07-23T02:45:53.673792Z,8318,Neutral,Medium,Neutral
91,1,card_payment_wrong_exchange_rate,2026-07-23T02:46:00.712157Z,22,6.918,Medium,502,Neutral,Please check the exchange rate for my payment last Saturday. I believe I have been overcharged.,2026-07-23T02:46:00.712169Z,502,Neutral,Medium,Neutral
92,1,why_verify_identity,2026-07-23T02:46:07.122855Z,23,6.292,Low,3785,Neutral,which identity details are required,2026-07-23T02:46:07.122867Z,3785,Neutral,Low,Neutral
93,1,verify_top_up,2026-07-23T02:46:18.026400Z,24,10.779,Medium,7803,Neutral,why do i need to verify the top up?,2026-07-23T02:46:18.026415Z,7803,Neutral,Low,Neutral
94,1,cash_withdrawal_not_recognised,2026-07-23T02:46:25.155762Z,25,7.008,High,8851,Neutral,I hope you can help me. Someone has stolen my wallet and now I have noticed that they have been taking money from my account.,2026-07-23T02:46:25.155776Z,8851,Negative,High,Neutral
95,1,pin_blocked,2026-07-23T02:46:33.827458Z,26,8.552,Low,1735,Neutral,What should I do if I exceed my PIN tries?,2026-07-23T02:46:33.827467Z,1735,Neutral,Low,Neutral
96,1,card_delivery_estimate,2026-07-23T02:46:40.861063Z,27,6.913,Low,1057,Neutral,How long will it take my card to get here?,2026-07-23T02:46:40.861077Z,1057,Neutral,Low,Neutral
97,1,visa_or_mastercard,2026-07-23T02:46:44.880120Z,28,3.902,Low,4109,Neutral,I prefer mastercard.,2026-07-23T02:46:44.880131Z,4109,Neutral,Low,Neutral
98,1,wrong_exchange_rate_for_cash_withdrawal,2026-07-23T02:46:57.048640Z,29,12.054,Medium,8225,Neutral,Foreign currency rates were put in wrong at an ATM i used.,2026-07-23T02:46:57.048652Z,8225,Neutral,Medium,Neutral
99,1,terminate_account,2026-07-23T02:47:10.115649Z,30,12.933,High,6173,Neutral,I want to stop my account,2026-07-23T02:47:10.115661Z,6173,Neutral,High,Negative
100,1,pending_cash_withdrawal,2026-07-23T02:47:23.225601Z,31,12.98,Low,817,Neutral,How long will it take for my cash withdrawal to stop pending,2026-07-23T02:47:23.225616Z,817,Neutral,Low,Neutral
101,1,cash_withdrawal_charge,2026-07-23T02:47:30.338101Z,32,6.992,Low,9425,Neutral,"I received a fee for obtaining cash, is this correct?",2026-07-23T02:47:30.338113Z,9425,Neutral,Medium,Neutral
102,1,exchange_rate,2026-07-23T02:47:34.730757Z,33,4.268,Low,392,Neutral,How can I tell what foreign exchange rate I will get?,2026-07-23T02:47:34.730771Z,392,Neutral,Low,Neutral
103,1,pending_transfer,2026-07-23T02:47:40.395121Z,34,5.555,Low,6007,Neutral,How long do I have to wait for the transfer to be finalized?,2026-07-23T02:47:40.395141Z,6007,Neutral,Medium,Neutral
104,1,pending_card_payment,2026-07-23T02:47:46.361490Z,35,5.849,Low,5152,Neutral,My purchases from this morning are showing up as payment pending. Can you tell me why?,2026-07-23T02:47:46.361503Z,5152,Neutral,Low,Neutral
105,1,country_support,2026-07-23T02:47:50.798700Z,36,4.322,Low,9952,Neutral,How many countries do you work in?,2026-07-23T02:47:50.798712Z,9952,Neutral,Low,Neutral
106,1,atm_support,2026-07-23T02:47:59.859488Z,37,8.951,Low,4564,Neutral,Where can money withdrawals be made?,2026-07-23T02:47:59.859504Z,4564,Neutral,Low,Neutral
107,1,get_disposable_virtual_card,2026-07-23T02:48:04.249460Z,38,4.27,Low,8454,Neutral,How do I know if i need a disposable card?,2026-07-23T02:48:04.249497Z,8454,Neutral,Low,Neutral
108,1,top_up_by_cash_or_cheque,2026-07-23T02:48:10.017589Z,39,5.638,Low,7975,Neutral,How do you top up with a cheque?,2026-07-23T02:48:10.017603Z,7975,Neutral,Low,Neutral
109,1,receiving_money,2026-07-23T02:48:14.149022Z,40,4.008,Low,7349,Neutral,How can I receive my salary with a different currency?,2026-07-23T02:48:14.149036Z,7349,Neutral,Low,Neutral
110,1,wrong_exchange_rate_for_cash_withdrawal,2026-07-23T02:48:19.266028Z,41,5.003,Medium,8367,Neutral,I withdrew cash abroad and the exchange rate applied is wrong.,2026-07-23T02:48:19.266049Z,8367,Neutral,Medium,Neutral
111,1,automatic_top_up,2026-07-23T02:48:30.737715Z,42,11.341,Low,1129,Neutral,How do I access the option to top up?,2026-07-23T02:48:30.737727Z,1129,Neutral,Low,Neutral
112,1,lost_or_stolen_card,2026-07-23T02:48:36.931253Z,43,6.068,High,1499,Neutral,I think my card is stolen!,2026-07-23T02:48:36.931265Z,1499,Neutral,High,Neutral
113,1,transaction_charged_twice,2026-07-23T02:48:41.355389Z,44,4.293,High,6369,Neutral,I was charged several times for something,2026-07-23T02:48:41.355405Z,6369,Neutral,Medium,Neutral
114,1,card_not_working,2026-07-23T02:48:51.622509Z,45,10.144,Medium,1340,Neutral,I am having problems with my physical card.,2026-07-23T02:48:51.622527Z,1340,Neutral,Medium,Neutral
115,1,top_up_by_card_charge,2026-07-23T02:48:55.592612Z,46,3.846,Low,9127,Neutral,Is it free for top ups?,2026-07-23T02:48:55.592625Z,9127,Neutral,Low,Neutral
116,1,atm_support,2026-07-23T02:48:58.616070Z,47,2.904,Low,4580,Neutral,Where is the nearest Mastercard ATM?,2026-07-23T02:48:58.616081Z,4580,Neutral,Low,Neutral
117,1,wrong_amount_of_cash_received,2026-07-23T02:49:07.612622Z,48,8.879,High,2442,Neutral,The ATM shows a withdraw of the amount of money I requested but I didn't revieve that amount in cash.,2026-07-23T02:49:07.612637Z,2442,Neutral,Medium,Neutral
118,1,balance_not_updated_after_cheque_or_cash_deposit,2026-07-23T02:49:12.011117Z,49,4.264,Low,3332,Neutral,What happens if I deposit a cheque accidentally?,2026-07-23T02:49:12.011135Z,3332,Neutral,Low,Neutral
119,1,card_payment_wrong_exchange_rate,2026-07-23T02:49:17.140283Z,50,5.007,High,523,Neutral,"I have been charged to much for the object I bought when abroad, the exchange rate seems to be wrong.",2026-07-23T02:49:17.140296Z,523,Neutral,Medium,Neutral
120,1,failed_transfer,2026-07-23T02:49:23.178203Z,51,5.913,Medium,7463,Neutral,please help my transfer go through,2026-07-23T02:49:23.178218Z,7463,Neutral,Medium,Neutral
121,1,fiat_currency_support,2026-07-23T02:49:27.739340Z,52,4.436,Low,939,Neutral,What currencies can I exchange?,2026-07-23T02:49:27.739355Z,939,Neutral,Low,Neutral
122,1,declined_card_payment,2026-07-23T02:49:35.723382Z,53,7.859,Medium,5972,Neutral,My card payment wasn't declined,2026-07-23T02:49:35.723394Z,5972,Neutral,Medium,Neutral
123,1,age_limit,2026-07-23T02:49:40.540372Z,54,4.677,Low,1560,Neutral,Can my children open an account?,2026-07-23T02:49:40.540387Z,1560,Neutral,Low,Neutral
124,1,cash_withdrawal_not_recognised,2026-07-23T02:49:47.157598Z,55,6.491,High,8784,Negative,I looked on the app and it says I withdrew cash.  I didn't!,2026-07-23T02:49:47.157612Z,8784,Negative,High,Negative
125,1,pending_cash_withdrawal,2026-07-23T02:49:58.755974Z,56,11.475,Medium,844,Neutral,Is there any reason my cash withdrawal still shows as pending?,2026-07-23T02:49:58.755986Z,844,Neutral,Low,Neutral
126,1,balance_not_updated_after_bank_transfer,2026-07-23T02:50:10.838516Z,57,11.961,Low,8701,Neutral,"How long do transfers from a local bank account usually take for you? I just made a transfer and I'm not seeing anything, wondering if it worked",2026-07-23T02:50:10.838532Z,8701,Neutral,Medium,Neutral
127,1,card_delivery_estimate,2026-07-23T02:50:15.777503Z,58,4.813,Low,1078,Neutral,How long does it take for cards to be delivered after ordering them?,2026-07-23T02:50:15.777518Z,1078,Neutral,Low,Neutral
128,1,disposable_card_limits,2026-07-23T02:50:20.178679Z,59,4.281,Low,4418,Neutral,How many disposable cards can you own?,2026-07-23T02:50:20.178697Z,4418,Neutral,Low,Neutral
129,1,verify_top_up,2026-07-23T02:50:26.567009Z,60,6.275,Low,7785,Neutral,Where is the top-up verification code sent?,2026-07-23T02:50:26.567027Z,7785,Neutral,Low,Neutral
130,1,declined_transfer,2026-07-23T02:50:34.117742Z,61,7.417,High,5598,Negative,"Hello. My credit keeps being declined, last night and again today, as I try to buy something. What is the status of my card?",2026-07-23T02:50:34.117756Z,5598,Neutral,Medium,Negative
131,1,extra_charge_on_statement,2026-07-23T02:50:37.915180Z,62,3.669,Low,736,Neutral,An extra fee of €1 was in my statement,2026-07-23T02:50:37.915194Z,736,Neutral,Medium,Neutral
132,1,declined_cash_withdrawal,2026-07-23T02:50:45.363580Z,63,7.316,Medium,5021,Neutral,"Hi, I am unable to use my card in ATM. I had tried my card in two ATMs but both ATMs declined it. Could you please check my account?",2026-07-23T02:50:45.363595Z,5021,Neutral,Medium,Neutral
133,1,pending_card_payment,2026-07-23T02:50:50.432148Z,64,4.937,Low,5122,Neutral,How is my card payment still pending?,2026-07-23T02:50:50.432159Z,5122,Neutral,Low,Negative
134,1,failed_transfer,2026-07-23T02:50:56.649096Z,65,6.085,High,7491,Neutral,Why do my transfers keep failing?,2026-07-23T02:50:56.649113Z,7491,Neutral,Medium,Negative
135,1,why_verify_identity,2026-07-23T02:51:00.224476Z,66,3.444,Low,3886,Neutral,Is verifying my identify important?,2026-07-23T02:51:00.224487Z,3886,Neutral,Low,Neutral
136,1,verify_top_up,2026-07-23T02:51:04.234527Z,67,3.887,Low,7743,Neutral,Where is the top-up verification code?,2026-07-23T02:51:04.234541Z,7743,Neutral,Low,Neutral
137,1,atm_support,2026-07-23T02:51:08.541369Z,68,4.166,Low,4588,Neutral,Can I get money out of any machine?,2026-07-23T02:51:08.541384Z,4588,Neutral,Low,Neutral
138,1,exchange_rate,2026-07-23T02:51:16.573262Z,69,7.908,Low,395,Neutral,How does the exchange rate work on this app?,2026-07-23T02:51:16.573277Z,395,Neutral,Low,Neutral
139,1,getting_virtual_card,2026-07-23T02:51:24.111213Z,70,7.411,Low,3056,Neutral,I want one of the virtual cards!,2026-07-23T02:51:24.111228Z,3056,Neutral,Low,Neutral
140,1,transfer_into_account,2026-07-23T02:51:35.498237Z,71,11.267,Low,7668,Neutral,How can I transfer money to this account from another bank?,2026-07-23T02:51:35.498254Z,7668,Neutral,Low,Neutral
141,1,request_refund,2026-07-23T02:51:43.225741Z,72,7.594,Medium,5484,Neutral,"I need to refund my item, can you please help?",2026-07-23T02:51:43.225753Z,5484,Neutral,Medium,Neutral
142,1,wrong_amount_of_cash_received,2026-07-23T02:52:01.434293Z,73,18.072,Medium,2506,Neutral,"So I just went to the ATM to get some cash.  I input that I needed Rs 100,000 but I only got Rs 80,000.  I have the receipt  and I am in need of the extra money.  How do I go about obtaining the missing amount?",2026-07-23T02:52:01.434311Z,2506,Neutral,Medium,Neutral
143,1,exchange_charge,2026-07-23T02:52:06.170855Z,74,4.607,Low,8971,Neutral,Is there a pay structure for currency exchanges?,2026-07-23T02:52:06.170868Z,8971,Neutral,Low,Neutral
144,1,declined_cash_withdrawal,2026-07-23T02:52:17.695789Z,75,11.394,Medium,4973,Neutral,My ATM card isn't working for a withdrawl,2026-07-23T02:52:17.695802Z,4973,Neutral,Medium,Neutral
145,1,supported_cards_and_currencies,2026-07-23T02:52:21.756499Z,76,3.925,Low,2903,Neutral,I want to use a payment card to top up my account. How can I do this?,2026-07-23T02:52:21.756510Z,2903,Neutral,Low,Neutral
146,1,get_physical_card,2026-07-23T02:52:26.416207Z,77,4.535,Medium,4005,Neutral,My pin isn't here yet,2026-07-23T02:52:26.416224Z,4005,Neutral,Low,Neutral
147,1,beneficiary_not_allowed,2026-07-23T02:52:32.254742Z,78,5.711,Low,7152,Neutral,is a transfer to a beneficiary allowed?,2026-07-23T02:52:32.254758Z,7152,Neutral,Low,Neutral
148,1,pending_transfer,2026-07-23T02:52:39.882538Z,79,7.503,Medium,6106,Neutral,"How long does EU transfer take? I bought something online a couple days ago , sent the money immediately online but the seller says it is still not there yet",2026-07-23T02:52:39.882550Z,6106,Neutral,Low,Neutral
149,1,declined_cash_withdrawal,2026-07-23T02:52:49.481093Z,80,9.466,High,5074,Neutral,I think I am having an issue with withdraws on my card. It was declined on the way to work this morning. This hasn't happened in the past.,2026-07-23T02:52:49.481105Z,5074,Neutral,Medium,Neutral
150,1,atm_support,2026-07-23T02:52:54.023731Z,81,4.41,Low,4620,Neutral,How far is the closest ATM from me?,2026-07-23T02:52:54.023742Z,4620,Neutral,Low,Neutral
151,1,card_acceptance,2026-07-23T02:53:04.041388Z,82,9.895,Low,3111,Neutral,Do you know which businesses will accept my card?,2026-07-23T02:53:04.041402Z,3111,Neutral,Low,Neutral
152,1,card_about_to_expire,2026-07-23T02:53:10.999974Z,83,6.836,Low,9558,Neutral,How do I order a new card? The current one is about to expire.,2026-07-23T02:53:10.999992Z,9558,Neutral,Low,Neutral
154,1,top_up_by_bank_transfer_charge,2026-07-23T02:53:32.618988Z,84,13.527,Low,1926,Neutral,Do you process SWIFT transfers?,2026-07-23T02:53:32.619003Z,1926,Neutral,Low,Neutral
155,1,balance_not_updated_after_cheque_or_cash_deposit,2026-07-23T02:53:44.908111Z,85,12.162,Medium,3442,Neutral,Why is the check I deposited this morning not showing up?,2026-07-23T02:53:44.908126Z,3442,Neutral,Low,Neutral
156,1,unable_to_verify_identity,2026-07-23T02:53:49.491981Z,86,4.445,Low,3993,Neutral,What do I need to bring for identification?,2026-07-23T02:53:49.491995Z,3993,Neutral,Low,Neutral
157,1,getting_spare_card,2026-07-23T02:53:54.115031Z,87,4.499,Low,7846,Neutral,What is the procedure for me to get more cards on my account?,2026-07-23T02:53:54.115045Z,7846,Neutral,Low,Neutral
158,1,transfer_not_received_by_recipient,2026-07-23T02:53:58.798276Z,88,4.552,Medium,2783,Neutral,Why hasn't my friend received the transaction?,2026-07-23T02:53:58.798288Z,2783,Neutral,Medium,Neutral
159,1,extra_charge_on_statement,2026-07-23T02:54:04.009705Z,89,5.076,High,657,Negative,I am being charged Rs 10 out of nowhere. What is this?,2026-07-23T02:54:04.009717Z,657,Neutral,Medium,Negative
160,1,wrong_amount_of_cash_received,2026-07-23T02:54:10.600529Z,90,6.464,Low,2468,Neutral,"I wanted to take out Rs 100,000 but I only got Rs 20,000.",2026-07-23T02:54:10.600543Z,2468,Neutral,Medium,Neutral
161,1,transaction_charged_twice,2026-07-23T02:54:15.424482Z,91,4.712,Medium,6332,Neutral,I have a duplicate charge,2026-07-23T02:54:15.424499Z,6332,Neutral,Medium,Neutral
162,1,top_up_by_cash_or_cheque,2026-07-23T02:54:19.399540Z,92,3.854,Low,7938,Neutral,How do I top up with a cheque?,2026-07-23T02:54:19.399559Z,7938,Neutral,Low,Neutral
163,1,age_limit,2026-07-23T02:54:23.357495Z,93,3.822,Low,1628,Neutral,What is your age limit?,2026-07-23T02:54:23.357509Z,1628,Neutral,Low,Neutral
164,1,country_support,2026-07-23T02:54:26.815049Z,94,3.334,Low,9888,Neutral,Which countries do you operate in,2026-07-23T02:54:26.815063Z,9888,Neutral,Low,Neutral
165,1,get_disposable_virtual_card,2026-07-23T02:54:31.527722Z,95,4.583,Low,8440,Neutral,Can you tell me what the disposable cards are used for?,2026-07-23T02:54:31.527736Z,8440,Neutral,Low,Neutral
166,1,transfer_fee_charged,2026-07-23T02:54:38.378035Z,96,6.714,Low,7200,Neutral,Why are you charging me a transfer fee?,2026-07-23T02:54:38.378049Z,7200,Neutral,Medium,Negative
167,1,card_payment_fee_charged,2026-07-23T02:54:45.091378Z,97,6.594,Low,2613,Neutral,I was charged a hidden fee when I paid with card.,2026-07-23T02:54:45.091395Z,2613,Neutral,Medium,Neutral
168,1,getting_virtual_card,2026-07-23T02:54:48.995316Z,98,3.781,Low,3052,Neutral,How long will it take to receive a virtual card?,2026-07-23T02:54:48.995327Z,3052,Neutral,Low,Neutral
169,1,direct_debit_payment_not_recognised,2026-07-23T02:54:57.148391Z,99,8.032,Medium,4637,Neutral,There is a strange charge on my debit statement,2026-07-23T02:54:57.148405Z,4637,Neutral,High,Neutral
170,1,balance_not_updated_after_cheque_or_cash_deposit,2026-07-23T02:55:01.812255Z,100,4.527,Medium,3397,Neutral,"After I deposited my cash, I still don't see it in my account.",2026-07-23T02:55:01.812269Z,3397,Neutral,Medium,Neutral
171,1,activate_my_card,2026-07-23T02:55:06.441299Z,101,4.512,Low,9201,Neutral,Can I call to get my card activated?,2026-07-23T02:55:06.441313Z,9201,Neutral,Low,Neutral
172,1,pending_cash_withdrawal,2026-07-23T02:55:16.031253Z,102,9.468,Medium,747,Neutral,My account shows up as pending after I received cash from the ATM earlier.  How can this be still pending? I've got the cash already.,2026-07-23T02:55:16.031271Z,747,Neutral,Low,Neutral
173,1,topping_up_by_card,2026-07-23T02:55:23.595291Z,103,7.43,Low,4336,Neutral,Why is my 'top up' not showing up in my wallet?,2026-07-23T02:55:23.595306Z,4336,Neutral,Medium,Neutral
174,1,top_up_failed,2026-07-23T02:55:29.732266Z,104,6.015,Medium,8581,Neutral,I don't know why my credit card was declined while I was trying to top-up. Was it something on my end or was there something wrong with the top-up function?,2026-07-23T02:55:29.732281Z,8581,Neutral,Medium,Neutral
175,1,transfer_timing,2026-07-23T02:55:36.678223Z,105,6.796,Low,6603,Neutral,How long will this transfer from overseas take?,2026-07-23T02:55:36.678238Z,6603,Neutral,Low,Neutral
176,1,contactless_not_working,2026-07-23T02:55:43.824731Z,106,6.996,Low,1815,Neutral,"I am having issues using contactless payments, could my card be damaged?",2026-07-23T02:55:43.824744Z,1815,Neutral,Medium,Neutral
177,1,unable_to_verify_identity,2026-07-23T02:55:47.897714Z,107,3.949,Low,3950,Neutral,What should I do if I can't prove my identity.,2026-07-23T02:55:47.897725Z,3950,Neutral,Low,Neutral
178,1,edit_personal_details,2026-07-23T02:55:50.993816Z,108,2.979,Low,3715,Neutral,"Since I got married, I need to change my name.",2026-07-23T02:55:50.993830Z,3715,Neutral,Low,Neutral
179,1,contactless_not_working,2026-07-23T02:55:55.869654Z,109,4.753,Low,1793,Neutral,Can I make a contactless payments?,2026-07-23T02:55:55.869719Z,1793,Neutral,Low,Neutral
180,1,beneficiary_not_allowed,2026-07-23T02:56:07.924684Z,110,11.912,Medium,7016,Neutral,My transfer to an account failed.,2026-07-23T02:56:07.924700Z,7016,Neutral,Medium,Neutral
181,1,automatic_top_up,2026-07-23T02:56:11.521912Z,111,3.476,Low,1240,Neutral,"My funds are low, can I auto top up?",2026-07-23T02:56:11.521927Z,1240,Neutral,Low,Neutral
182,1,card_about_to_expire,2026-07-23T02:56:15.780939Z,112,4.129,Low,9568,Neutral,I need to order a new card as my old one will expire soon. Can you tell me how to order a new one?,2026-07-23T02:56:15.780954Z,9568,Neutral,Low,Neutral
183,1,Refund_not_showing_up,2026-07-23T02:56:21.384003Z,113,5.489,Medium,5680,Neutral,I need my refund,2026-07-23T02:56:21.384019Z,5680,Neutral,Medium,Neutral
184,1,exchange_charge,2026-07-23T02:56:25.370518Z,114,3.855,Low,8960,Neutral,How much will I be charged for a cross-currency exchange?,2026-07-23T02:56:25.370531Z,8960,Neutral,Low,Neutral
185,1,fiat_currency_support,2026-07-23T02:56:28.910820Z,115,3.41,Low,889,Neutral,Are EUR exchanges allowed?,2026-07-23T02:56:28.910834Z,889,Neutral,Low,Neutral
186,1,verify_source_of_funds,2026-07-23T02:56:33.755262Z,116,4.723,Low,6489,Neutral,who can put money in my account?,2026-07-23T02:56:33.755278Z,6489,Neutral,Low,Neutral
187,1,card_delivery_estimate,2026-07-23T02:56:39.060598Z,117,5.159,Low,1097,Neutral,I would like to make sure it is delivered on a certain date.,2026-07-23T02:56:39.060612Z,1097,Neutral,Low,Neutral
188,1,pending_top_up,2026-07-23T02:56:45.286737Z,118,6.092,Medium,2029,Negative,"How long is a top up supposed to be pending, because an hour is too long! Can you fix this to go through?",2026-07-23T02:56:45.286749Z,2029,Negative,Low,Negative
189,1,top_up_by_bank_transfer_charge,2026-07-23T02:56:49.509852Z,119,4.101,Low,1850,Neutral,Is there a fee to make a transfer?,2026-07-23T02:56:49.509864Z,1850,Neutral,Low,Neutral
190,1,age_limit,2026-07-23T02:56:53.175296Z,120,3.547,Low,1621,Neutral,Is there a limit for age?,2026-07-23T02:56:53.175311Z,1621,Neutral,Low,Neutral
191,1,virtual_card_not_working,2026-07-23T02:57:03.470526Z,121,10.167,Low,8204,Neutral,What do I do if my disposable virtual card doesn't work?,2026-07-23T02:57:03.470542Z,8204,Neutral,Medium,Neutral
192,1,transfer_fee_charged,2026-07-23T02:57:59.432561Z,122,55.834,Low,7265,Neutral,"I made a transfer and according to the receiver ""they haven't received the right amount"" Its lesser than it should be.Now I have to transfer more money to make up for the missing amount . Can you please help me about this,what should be done",2026-07-23T02:57:59.432577Z,7265,Neutral,Medium,Neutral
193,1,card_swallowed,2026-07-23T02:58:10.250533Z,123,10.703,High,6252,Neutral,"I can't get my card out of the ATM, what should I do now?",2026-07-23T02:58:10.250551Z,6252,Neutral,Medium,Neutral
194,1,Refund_not_showing_up,2026-07-23T02:58:15.831346Z,124,5.451,Low,5700,Neutral,When will my returned transaction show up on my account?,2026-07-23T02:58:15.831362Z,5700,Neutral,Medium,Neutral
195,1,failed_transfer,2026-07-23T02:58:22.372376Z,125,6.405,Medium,7476,Neutral,Why can I not make a transfer?,2026-07-23T02:58:22.372391Z,7476,Neutral,Medium,Neutral
196,1,Refund_not_showing_up,2026-07-23T02:58:33.892612Z,126,11.392,Medium,5709,Neutral,"I requested a refund from a merchant several days ago, but don't see anything showing up in my account yet.  Can you check on your end to see if the money has reached you guys?",2026-07-23T02:58:33.892626Z,5709,Neutral,Medium,Neutral
197,1,getting_virtual_card,2026-07-23T02:58:37.897259Z,127,3.849,Low,2998,Neutral,"I would like to order a virtual card, where can I get one?",2026-07-23T02:58:37.897272Z,2998,Neutral,Low,Neutral
198,1,request_refund,2026-07-23T02:58:46.023664Z,128,7.993,Medium,5466,Negative,It has been forever ago that I made an order online. The product simply is not coming. Just give me back my money because I'm not paying these people.,2026-07-23T02:58:46.023679Z,5466,Negative,Medium,Negative
199,1,lost_or_stolen_card,2026-07-23T02:58:56.480879Z,129,10.332,High,1546,Neutral,I think my wallet fell out on the Tube today! I realized as soon as I got to my desk. How do I cut off the card?,2026-07-23T02:58:56.480896Z,1546,Neutral,High,Neutral
200,1,top_up_limits,2026-07-23T02:59:01.708719Z,130,5.092,Low,2248,Neutral,What is the greatest number of times that I can top-up?,2026-07-23T02:59:01.708736Z,2248,Neutral,Low,Neutral
201,1,supported_cards_and_currencies,2026-07-23T02:59:08.776571Z,131,6.944,Low,2896,Neutral,why don't you accept american express for adding money to my account,2026-07-23T02:59:08.776586Z,2896,Neutral,Low,Neutral
202,1,transfer_fee_charged,2026-07-23T02:59:14.351971Z,132,5.454,Low,7319,Neutral,Why did I get charged a fee for my transfer?,2026-07-23T02:59:14.351984Z,7319,Neutral,Medium,Negative
203,1,get_disposable_virtual_card,2026-07-23T02:59:17.194807Z,133,2.71,Low,8377,Neutral,Why use a disposable card?,2026-07-23T02:59:17.194822Z,8377,Neutral,Low,Neutral
204,1,lost_or_stolen_phone,2026-07-23T02:59:21.984570Z,134,4.64,Low,5325,Neutral,What should I do if my phone is lost or stolen?,2026-07-23T02:59:21.984585Z,5325,Neutral,Low,Neutral
