row_index,text_en,text_singlish,category,sentiment,priority
39,My card still hasn't been delivered,mage card eka thama dilivar vela naa,card_arrival,Neutral,Low
40,I need to find out where the card is that I ordered.,mama order karapu card eka koheda kiyala danaganna one.,card_arrival,Neutral,Low
41,Where is my credit card that was to be mailed?,mata evanna ona kiyapu kredit card eka koheda?,card_arrival,Neutral,Low
42,I ordered my card but it hasn't been delivered yet,"mama card ekak order kara, et thama dilivar vela naa",card_arrival,Neutral,Low
43,Am I able to track the card that was just sent to me?,mata dan evapu card eka track karaganna puluvanda?,card_arrival,Neutral,Low
44,Can you tell me why I haven't received my new card?,mama mage alut card eka labune natte ayi kiyala kiyanna puluvanda?,card_arrival,Neutral,Low
45,I'm still waiting for my new card.,mama thama mage alut card eka enakam balagena innava.,card_arrival,Neutral,Low
46,Is my card lost? I am still waiting for it to be delivered.,mage card eka nati velada? mama thama eka enakam balagena innava.,card_arrival,Neutral,Low
47,Should I keep waiting for my card to be delivered?,mama mage card eka enakam tava balagena innada one?,card_arrival,Neutral,Low
48,Can I track when my card will be delivered?,mage card eka ena davasa track karaganna puluvanda?,card_arrival,Neutral,Low
49,How can I check on the status of my new card?,mage alut card eke stetas eka balanne kohomada?,card_arrival,Neutral,Low
50,"A card has been sent to me, how do I track it?","mata card ekak evala tiyenavalu, eka track karanne kohomada?",card_arrival,Neutral,Low
51,Is there a way I can get my card expedited?,mage card eka ikmanata evaganna vidiyak tiyenavada?,card_arrival,Neutral,Low
52,What can I do to track the card you sent me?,oyala evapu card eka track karanna mama mokada karanne?,card_arrival,Neutral,Low
53,why hasnt my card come in yet?,mage card eka thama ave natte ayi?,card_arrival,Neutral,Low
54,How can I periodically check the delivery of the card you sent?,oyala evapu card eke delivery eka tiken tika chek karanne kohomada?,card_arrival,Neutral,Low
55,What's the reason my new card hasn't come?,mage alut card eka ave natte ayi?,card_arrival,Neutral,Low
56,How long does it take for me to get my new card?,mage alut card eka labenna kochchara vela yanavada?,card_arrival,Neutral,Low
57,I don't have my card after 1 week. What are my next steps?,satiyak giyat mata card eka naa. dan mama mokada karanne?,card_arrival,Neutral,Low
58,I know I'm getting a new card but would like know when I can expect to receive it.,"mata alut card ekak labenava kiyala dannava, et eka kavadada labenne kiyala danaganna one.",card_arrival,Neutral,Low
59,I want to find out what happened to my new card?,mage alut card ekata mokada vune kiyala danaganna one.,card_arrival,Neutral,Low
60,Was there a way for me to get tracking for that?,eka track karanna mokakhari vidiyak tiyenavada?,card_arrival,Neutral,Low
61,I am still waiting for my card.,mama thama mage card eka enakam balagena innava.,card_arrival,Neutral,Low
62,My card hasn't arrived.,mage card eka thama ave naa.,card_arrival,Neutral,Low
63,Can I track the card you sent to me?,oyala evapu card eka track karanna puluvanda?,card_arrival,Neutral,Low
64,I haven't gotten my new card.,mata thama alut card eka hambune naa.,card_arrival,Neutral,Low
65,How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,mage alut card eka labenna kochchara vela yanavada? eka kavadavat labune nattam mama mokada karanne?,card_arrival,Neutral,Low
66,Will I have to wait much longer for my new card to arrive?,mage alut card eka labenna tava godak vela yanavada?,card_arrival,Neutral,Low
67,how to track the card you sent,oyala evapu card eka track karanne kohomada,card_arrival,Neutral,Low
68,2 weeks ago I ordered my new card.  It isn't here.  What should I do?,sati 2kata kalin mama alut card ekak order kara. eka thama enne naa. mama mokada karanne?,card_arrival,Neutral,Low
69,How can I check on the delivery status of my card?,mage card eke delivery stetas eka balanne kohomada?,card_arrival,Neutral,Low
70,"My card has not been delivered yet and its been a week since I ordered it, please help","satiyak gihin tiyenava order karala, et thama card eka dilivar vela naa. udav karannako.",card_arrival,Neutral,Low
71,What's the expected wait time to recieve my new card?,mage alut card eka labenna balaporottu vena kalaya mokakda?,card_arrival,Neutral,Low
72,How can I see the progress of delivery of the card that was sent?,evapu card eke delivery pragatiya balanne kohomada?,card_arrival,Neutral,Low
73,"My card was supposed to arrive, but hasn't?","mage card eka labenna ona kalaya giya, et thama labune naa?",card_arrival,Neutral,Low
74,I ordered a card and would like to know how to track the delivery progress of it.,"mama card ekak order kara, eke delivery eka track karanne kohomada kiyala danaganna one.",card_arrival,Neutral,Low
75,How long will it take for me to get my card?,mage card eka labenna kochchara vela yanavada?,card_arrival,Neutral,Low
76,My card hasn't shown up yet.,mage card eka thama penne naa.,card_arrival,Neutral,Low
77,Does the card you sent have a tracking number?,oyala evapu card ekata tracking nambarayak tiyenavada?,card_arrival,Neutral,Low
78,My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,mage card eka thama ave naa. mama eka order karala sati 2k giya. mama mokada karanne?,card_arrival,Neutral,Low
79,maximum how many days get the courier?,kuriyar eka enna uparima davas kiyak yanavada?,card_arrival,Neutral,Low
80,Is there a reason my new card hasn't arrived yet?,mage alut card eka thama ave natte mokak hari hetuvak tiyenavada?,card_arrival,Neutral,Low
81,"I've been waiting a while for my card, is there a way to know when it will arrive?","mama godak velavak indan card eka enakam balagena innava, eka kavadada enne kiyala danaganna vidiyak tiyenavada?",card_arrival,Neutral,Low
82,How can I track my card's delivery?,mage card eke delivery eka track karanne kohomada?,card_arrival,Neutral,Low
83,Can I track the card that was just sent to me?,mata dan evapu card eka track karanna puluvanda?,card_arrival,Neutral,Low
84,"If I ordered my new card last week, how much longer should I wait to receive it?","mama mage alut card eka giya satiye order kara nam, tava kochchara vela innada one labenna?",card_arrival,Neutral,Low
85,"What's go on, where is my new card?","mokada venne, mage alut card eka koheda?",card_arrival,Neutral,Low
86,Where is my new card if I haven't received it yet?,mata thama hambune nattam mage alut card eka koheda?,card_arrival,Neutral,Low
87,Where is my card?,mage card eka koheda?,card_arrival,Neutral,Low
88,Can you tell me why I haven't received my new card yet?,mama mage alut card eka thama labune natte ayi kiyala kiyanna puluvanda?,card_arrival,Neutral,Low
89,Is there a way to track my card?,mage card eka track karanna vidiyak tiyenavada?,card_arrival,Neutral,Low
90,Is there a way to track the new card you sent me?,oyala evapu alut card eka track karanna vidiyak tiyenavada?,card_arrival,Neutral,Low
91,I'm still waiting for my card.,mama thama mage card eka enakam balagena innava.,card_arrival,Neutral,Low
92,What do I need to do to get my new card which I have requested 2 weeks ago?,sati 2kata kalin mama illum karapu alut card eka labenna mama mokada karanna one?,card_arrival,Neutral,Low
93,WHAT IS THE SOLUTION OF THIS PROBLEM,mekata visanduma mokakda?,card_arrival,Negative,Low
94,Could I get tracking on the card?,card ekata tracking ekak ganna puluvanda?,card_arrival,Neutral,Low
95,Can you help me track my card?,mage card eka track karanna udav karanna puluvanda?,card_arrival,Neutral,Low
96,Shouldn't my new card be here by now?,me venakota mage alut card eka labenna one neda?,card_arrival,Neutral,Low
97,Is there a reason my new card hasn't arrived?,mage alut card eka ave natte mokak hari hetuvak tiyenavada?,card_arrival,Neutral,Low
98,"I would like to track a card sent to me, how do I do that?","mata evapu card ekak track karanna one, eka karanne kohomada?",card_arrival,Neutral,Low
99,Is there a tracking number for the card?,card ekata tracking nambarayak tiyenavada?,card_arrival,Neutral,Low
100,can you share card tracking number?,card eke tracking nambaraya denna puluvanda?,card_arrival,Neutral,Low
101,"I have not received my card and it's been a week, what do I do?","mata card eka hambune naa, satiyak giya. mama mokada karanne?",card_arrival,Neutral,Low
102,Is there a way I can check on the card on route to me?,enakam inna card eka chek karaganna vidiyak tiyenavada?,card_arrival,Neutral,Low
103,When will my new card arrive?,mage alut card eka enne kavadada?,card_arrival,Neutral,Low
104,Why haven't I received my new card yet?,mama mage alut card eka thama labune natte ayi?,card_arrival,Neutral,Low
105,What is the expected delivery date of my card?,mage card eke delivery ekata balaporottu vena dinaya mokakda?,card_arrival,Neutral,Low
106,My card hasn't came in the mail yet?,mage card eka thama enne naa?,card_arrival,Neutral,Low
107,I haven't received my card.,mata card eka hambune naa.,card_arrival,Neutral,Low
108,Is it possible for me to track the card is was mailed to me?,mata evapu card eka track karanna puluvanda?,card_arrival,Neutral,Low
109,When will my new card be delivered?,mage alut card eka dilivar venne kavadada?,card_arrival,Neutral,Low
110,I was issued a card about a week ago. why hasn't it come in yet?,mata card ekak nikut karala satiyak vitara giya. eka thama ave natte ayi?,card_arrival,Neutral,Low
111,Can you please tell me where my card is? I ordered it 2 weeks ago!,mage card eka koheda kiyala kiyanna puluvanda? mama eka order karala sati 2k giya!,card_arrival,Neutral,Low
112,I still haven't received my card in the mail,mama thama card eka hambune naa,card_arrival,Neutral,Low
113,I'm still waiting for my card that was issued a week ago. What should I do?,satiyakata kalin nikut karapu card eka thama enakam balagena innava. mama mokada karanne?,card_arrival,Neutral,Low
114,I still haven't gotten my new card.  When will it get here?,mata thama alut card eka hambune naa. eka kavadada metanata enne?,card_arrival,Neutral,Low
115,Do you have a tracking number for the card I was sent?,mata evapu card ekata tracking nambarayak tiyenavada?,card_arrival,Neutral,Low
116,How do I track the card you sent to me?,oyala mata evapu card eka track karanne kohomada?,card_arrival,Neutral,Low
117,Is my new bank card on the way and is there a way to track it?,"mage alut banku card eka enavada, eka track karanna vidiyak tiyenavada?",card_arrival,Neutral,Low
118,Could you send me and up date on the arrival of my card?,mage card eka enakota mata alut vistarayak denna puluvanda?,card_arrival,Neutral,Low
119,How long does it take to recieve my new card?,mage alut card eka labenna kochchara vela yanavada?,card_arrival,Neutral,Low
120,My card has not come in the mail yet.,mage card eka thama ave naa.,card_arrival,Neutral,Low
121,What's the card you sent me's tracking number?,oyala mata evapu card eke tracking nambaraya mokakda?,card_arrival,Neutral,Low
122,i havent got my card,mata card eka hambune naa,card_arrival,Neutral,Low
123,Why hasn't my card arrived yet?,mage card eka thama ave natte ayi?,card_arrival,Neutral,Low
124,I thought I would have received my new card at this point.,me venakota mage alut card eka labenava kiyalayi mama hituve.,card_arrival,Neutral,Low
125,How long until my new card gets here?,mage alut card eka metanata enna tava kochchara vela yanavada?,card_arrival,Neutral,Low
126,How much longer until I get my new card?,mage alut card eka labenna tava kochchara vela yanavada?,card_arrival,Neutral,Low
127,Am I able to track a card that has already been sent?,danatamat evapu card ekak track karaganna puluvanda?,card_arrival,Neutral,Low
128,Is it possible to track the card you sent me?,oyala mata evapu card eka track karanna puluvanda?,card_arrival,Neutral,Low
129,How long will it be to get this new card?,me alut card eka labenna kochchara vela yanavada?,card_arrival,Neutral,Low
130,how can i track card you sent,oyala evapu card eka track karanne kohomada,card_arrival,Neutral,Low
131,Can the card was sen to me be tracked?,mata evapu card eka track karanna puluvanda?,card_arrival,Neutral,Low
132,why have i not got my new card?,mata mage alut card eka hambune natte ayi?,card_arrival,Neutral,Low
133,I need to track the card sent to me.,mata evapu card eka track karanna one.,card_arrival,Neutral,Low
134,"It's been two weeks and I haven't gotten my card, what do I do?","sati dekak giya, mata thama card eka hambune naa, mama mokada karanne?",card_arrival,Neutral,Low
135,I was expecting my new card by now.,me venakota mage alut card eka labeyi kiyalayi mama balaporottu vune.,card_arrival,Neutral,Low
136,Where is the tracking number for the card?,card eke tracking nambaraya koheda?,card_arrival,Neutral,Low
137,I was issued a new card a week ago but still haven't received it. How long will it be until I receive it?,"satiyakata kalin mata alut card ekak nikut kara, et thama labune naa. labenna tava kochchara vela yanavada?",card_arrival,Neutral,Low
138,Can I track the card that you sent me in the mail?,oyala post eken evapu card eka track karanna puluvanda?,card_arrival,Neutral,Low
139,Can you tell me if I can track the card you sent me?,oyala evapu card eka track karanna puluvanda kiyala kiyanna puluvanda?,card_arrival,Neutral,Low
140,Why have I not gotten my new card?,mama mage alut card eka labune natte ayi?,card_arrival,Neutral,Low
141,I'm still waiting on my new card to be delivered!,mama thama mage alut card eka dilivar venakam balagena innava!,card_arrival,Neutral,Low
142,My new card isn't here and it was issued a week ago.,mage alut card eka nikut karala satiyak giyat thama enne naa.,card_arrival,Neutral,Low
143,"I was supposed to receive my new card by now, but it hasn't came in.","me venakota mage alut card eka labenna one, et thama ave naa.",card_arrival,Neutral,Low
144,Is a tracking number available for the card that was just sent?,dan evapu card ekata tracking nambarayak tiyenavada?,card_arrival,Neutral,Low
145,Why haven't I gotten my new card?,mama mage alut card eka labune natte ayi?,card_arrival,Neutral,Low
146,Was there a number to track that I could get?,track karanna mata ganna puluvan nambarayak tibunada?,card_arrival,Neutral,Low
147,How much longer is it going to take to get my new card?,mage alut card eka labenna tava kochchara vela yanavada?,card_arrival,Neutral,Low
148,I haven't gotten my credit card in the mail.,mata kredit card eka thama hambune naa.,card_arrival,Neutral,Low
149,My card hasn't arrived yet. What do I do?,mage card eka thama ave naa. mama mokada karanne?,card_arrival,Neutral,Low
150,"My card still hasn't arrived after two weeks, now what?","sati dekak giyat mage card eka thama ave naa, dan mokada karanne?",card_arrival,Neutral,Low
151,My card appears to have never arrived?,mage card eka kavadavat ave nati vage?,card_arrival,Neutral,Low
152,My card never arrived.,mage card eka kavadavat ave naa.,card_arrival,Neutral,Low
153,My card has been found. Is there any way for me to put it back into the app?,"mage card eka hambuna, eka ayet app ekata danna vidiyak tiyenavada?",card_linking,Neutral,Low
154,I was able to find my card. How to I go about putting it into my app?,mata mage card eka hambuna. eka mage app ekata danne kohomada?,card_linking,Neutral,Low
155,how do I get my card to show in the app?,mage card eka app eke penne kohomada?,card_linking,Neutral,Low
156,I just got my card.  It's not linked yet--how do I do that?,"dan dan tamayi mata card eka labune. eka thama link karala naa, eka karanne kohomada?",card_linking,Neutral,Low
157,"lost card found, want to put it back in app","nati vuna card eka hambuna, eka ayet app ekata danna one",card_linking,Neutral,Low
158,"I just got a card, how can I add it to the app?","dan dan tamayi card ekak labune, eka app ekata danne kohomada?",card_linking,Neutral,Low
159,Is there any way to see my card in the app?,mage card eka app eke balaganna vidiyak tiyenavada?,card_linking,Neutral,Low
160,If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it?,mama nati karagatta card ekak hambunot eka vinasha karanna oneda? nattam ayet activate karala pavichchi karanna puluvanda?,card_linking,Neutral,Low
161,I found my card. How can I put it into my app?,mata mage card eka hambuna. eka mage app ekata danne kohomada?,card_linking,Neutral,Low
162,How do I make my card show up in the app?,mage card eka app eke penne kohomada?,card_linking,Neutral,Low
163,Can you show me where to link the new card?,alut card eka link karanne kohenda kiyala pennanna puluvanda?,card_linking,Neutral,Low
164,I found my old card. Can I link it back into the app?,mage parana card eka hambuna. eka ayet app ekata link karanna puluvanda?,card_linking,Neutral,Low
165,"Show me how to link the new card,",alut card eka link karanne kohomada kiyala pennannako,card_linking,Neutral,Low
166,How do I add an existing card to the app?,danatamat tiyena card ekak app ekata danne kohomada?,card_linking,Neutral,Low
167,I finally got my card.  Now I want to link it.  Is that something you have to do or can I do that?,antimata mata card eka labuna. dan eka link karanna one. eka karanne oyalada mamada?,card_linking,Neutral,Low
168,How do I link one of your card that I already have?,mama danatamat tiyena card ekak link karanne kohomada?,card_linking,Neutral,Low
169,If I have a physical card can I link it?,mama langa fisikal card ekak tiyenavanam eka link karanna puluvanda?,card_linking,Neutral,Low
170,I found my lost card in my jacket pocket this morning so I'd like to reactivate it please.,"ada ude mage jacket eke pokat eke nati vuna card eka hambuna, eka ayet activate karanna one.",card_linking,Neutral,Low
171,Can I add a card that I just found (again) to the app?,dan hambuna card eka (ayet) app ekata danna puluvanda?,card_linking,Neutral,Low
172,How can I make my card show up in the app?,mage card eka app eke penne kohomada?,card_linking,Neutral,Low
173,"I would like to re-activate my card, it was previously reported  lost but I found it this morning.","mage card eka ayet activate karanna one, kalin nati vuna kiyala kivvat ada ude eka hambuna.",card_linking,Neutral,Low
174,"Okay, I found my card, can I put it back in the app?","hari, mata card eka hambuna, eka ayet app ekata danna puluvanda?",card_linking,Neutral,Low
175,Can I reactivate a card?,card ekak ayet activate karanna puluvanda?,card_linking,Neutral,Low
176,I would like to reactivate a card and wondered if that could be done?,"mata card ekak ayet activate karanna one, eka karaganna puluvanda?",card_linking,Neutral,Low
177,"I got my card now, how do I make it show up in the app?","dan mata card eka labuna, eka app eke penne kohomada?",card_linking,Neutral,Low
178,How do I link an existing card?,danatamat tiyena card ekak link karanne kohomada?,card_linking,Neutral,Low
179,How do I link a new card in the app?,app eke alut card ekak link karanne kohomada?,card_linking,Neutral,Low
180,"The card I thought was lost was just in my jacket, so can I reactivate it since I found it this morning?","nati vuna kiyala hituva card eka tibune mage jacket eke, ada ude hambuna nisa eka ayet activate karanna puluvanda?",card_linking,Neutral,Low
181,I already have a card and want to link it,"mama langa danatamat card ekak tiyenava, eka link karanna one",card_linking,Neutral,Low
182,Can you please reactivate my card?,mage card eka ayet activate karala denna puluvanda?,card_linking,Neutral,Low
183,Where do I go to add a new card?,alut card ekak danna mama koheta yanna oneda?,card_linking,Neutral,Low
184,I want my card I just received to show up in the app. How do I do that?,dan labuna card eka app eke penna one. eka karanne kohomada?,card_linking,Neutral,Low
185,"I received my card, how do I get it to show in the app?","mata card eka labuna, eka app eke penne kohomada?",card_linking,Neutral,Low
186,If I have a credit card with you how I get set up to link to it?,mama langa oyalage kredit card ekak tiyenavanam eka link karaganne kohomada?,card_linking,Neutral,Low
187,How do I add my new card?,mage alut card eka danne kohomada?,card_linking,Neutral,Low
188,"I want to reactivate my card, I thought I had lost it but found it again this morning.","mage card eka ayet activate karanna one, nati vuna kiyala hituvat ada ude ayet hambuna.",card_linking,Neutral,Low
189,"I need a card reactivation, I had reported my card lost but I ran across it in my jacket.","mata card ekak ayet activate karanna one, kalin nati kiyala kivvat jacket ekedi hambuna.",card_linking,Neutral,Low
190,My card is no longer lost. How do I enter it back into the app?,mage card eka ayet nati naa. eka ayet app ekata danne kohomada?,card_linking,Neutral,Low
191,"I want to reactivate my card, I thought I had lost it but found it again in my jacket.","mage card eka ayet activate karanna one, nati vuna kiyala hituvat jacket ekedi ayet hambuna.",card_linking,Neutral,Low
192,"May I reactivate my card? I previously reported it lost, but have now found it safe and sound.",mage card eka ayet activate karanna puluvanda? kalin nati kiyala kivvat dan arakshitava hambuna.,card_linking,Neutral,Low
193,How do I reactivate a card I thought I lost?,nati vuna kiyala hituva card ekak ayet activate karanne kohomada?,card_linking,Neutral,Low
194,Help me figure out how to link the new card.,alut card eka link karanne kohomada kiyala danaganna udav karanna.,card_linking,Neutral,Low
195,I found my lost card. Am I still able to use it?,mage nati vuna card eka hambuna. eka tamat pavichchi karanna puluvanda?,card_linking,Neutral,Low
196,Will I need a new card or can I put my old card back into the app?,mata alut card ekak oneda nattam parana card eka ayet app ekata danna puluvanda?,card_linking,Neutral,Low
197,Is there a way to link the card i just got?,dan labuna card eka link karanna vidiyak tiyenavada?,card_linking,Neutral,Low
198,How do I add a new card?,alut card ekak danne kohomada?,card_linking,Neutral,Low
199,"I want to reactivate my card, I found it after thinking it was lost.","mage card eka ayet activate karanna one, nati vuna kiyala hituvat ayet hambuna.",card_linking,Neutral,Low
200,Can I put my old card back in the app?,mage parana card eka ayet app ekata danna puluvanda?,card_linking,Neutral,Low
201,"I got a new card, how do I link it?","mata alut card ekak labuna, eka link karanne kohomada?",card_linking,Neutral,Low
202,I found the card I thought I lost this morning. Can I reactivate this card?,ada ude nati vuna kiyala hituva card eka hambuna. meka ayet activate karanna puluvanda?,card_linking,Neutral,Low
203,How do i go about linking a new card?,alut card ekak link karanne kohomada?,card_linking,Neutral,Low
204,how do i get the card linked,card eka link karaganne kohomada,card_linking,Neutral,Low
205,"I have one of your cards, but I don't know how to link it.","mama langa oyalage card ekak tiyenava, et eka link karanne kohomada kiyala danne naa.",card_linking,Neutral,Low
206,how do I link an old card?,parana card ekak link karanne kohomada?,card_linking,Neutral,Low
207,I received my card. How do I link it to the app?,mata card eka labuna. eka app ekata link karanne kohomada?,card_linking,Neutral,Low
208,"Now that I have my card, how do I connect it to the app?","dan mata card eka tiyenava, eka app ekata kanekt karanne kohomada?",card_linking,Neutral,Low
209,How do I add the card I just received to show up in the app?,dan labuna card eka app eke penna danne kohomada?,card_linking,Neutral,Low
210,"I want to reactivate my card, I thought I had lost it but I found it.","mage card eka ayet activate karanna one, nati vuna kiyala hituvat ayet hambuna.",card_linking,Neutral,Low
211,What do I need to do to link my new card for my account?,mage alut card eka mage ginumata link karanna mokada karanna one?,card_linking,Neutral,Low
212,Can I add a card to back into the app?,card ekak ayet app ekata danna puluvanda?,card_linking,Neutral,Low
213,I want to link my new card. Can you help?,mage alut card eka link karanna one. udav karanna puluvanda?,card_linking,Neutral,Low
214,What is the process to link the new card?,alut card eka link karanna tiyena kramaya mokakda?,card_linking,Neutral,Low
215,"I found my card, am I able to put it back into the app?","mata card eka hambuna, eka ayet app ekata danna puluvanda?",card_linking,Neutral,Low
216,"I have found my lost or stolen card, would I still have to activate the new card that was sent to me through the mail in order to access my account?","mage nati vuna ho horakam karapu card eka hambuna, et mage ginumata yanna post eken evapu alut card eka activate karannama oneda?",card_linking,Neutral,Low
217,Where can I link a new card?,alut card ekak link karanne koheda?,card_linking,Neutral,Low
218,How do I add a card on to the app?,app ekata card ekak danne kohomada?,card_linking,Neutral,Low
219,"I found my card in my jacket this morning, so can I reactivate it?","ada ude mage jacket eke card eka hambuna, eka ayet activate karanna puluvanda?",card_linking,Neutral,Low
220,"I've obtained the card, how do I enable it on the app?","mata card eka labuna, eka app eke enebal karanne kohomada?",card_linking,Neutral,Low
221,I need to find the card I received in the app.,mata labuna card eka app eke hoyaganna one.,card_linking,Neutral,Low
222,How do I get my card on the app?,mage card eka app eke danne kohomada?,card_linking,Neutral,Low
223,"In the app, how can I make it show the new card that arrived?",app eke alut card eka penna hadanne kohomada?,card_linking,Neutral,Low
224,How do I link my new card?,mage alut card eka link karanne kohomada?,card_linking,Neutral,Low
225,Can I activate a card in the app?,app eken card ekak activate karanna puluvanda?,card_linking,Neutral,Low
226,"I want to link to my card card with you, how?","mage card eka link karanna one, kohomada?",card_linking,Neutral,Low
227,I would like to link my card to my account.,mage card eka mage ginumata link karanna one.,card_linking,Neutral,Low
228,"I thought I lost my card so I cancelled it, but recently I found it in my jacket and I would like to re-establish the card.","mage card eka nati vuna kiyala hitala mama eka kansal kara, et metakadi jacket ekedi eka hambuna, eka ayet pavichchi karanna one.",card_linking,Neutral,Low
229,How can I link the new card?,alut card eka link karanne kohomada?,card_linking,Neutral,Low
230,I got a new card and can't find where to link it.,"mata alut card ekak labuna, et eka link karanne kohenda kiyala hoyaganna baa.",card_linking,Neutral,Low
231,"Hey, I have my card, how do I get it to show in the app?","mage langa card eka tiyenava, eka app eke penne kohomada?",card_linking,Neutral,Low
232,Where in the app do I go to make my new card show up?,mage alut card eka penna app eke mama koheta yanna oneda?,card_linking,Neutral,Low
233,Where do I scan my card?,mage card eka sken karanne koheda?,card_linking,Neutral,Low
234,Can I reactivate my card? I reported it lost and found it this morning in my jacket.,"mage card eka ayet activate karanna puluvanda? mama kalin nati kiyala kivva, et ada ude jacket ekedi hambuna.",card_linking,Neutral,Low
235,Can I link my card I previously received?,kalin labuna mage card eka link karanna puluvanda?,card_linking,Neutral,Low
236,"I want to reactivate my card, I thought I had lost it but found it again in my jacket this morning.","mage card eka ayet activate karanna one, nati vuna kiyala hituvat ada ude jacket ekedi ayet hambuna.",card_linking,Neutral,Low
237,"I'd lke my card reactivated, I was thinking it was misplaced but I discovered when I woke up that I had left it in my coat.","mage card eka ayet activate karanna one, eka nati vuna kiyala hituvat ahila baluvama eka mage kot eke tibba.",card_linking,Neutral,Low
238,You sent me a card and now I want to link it.,"oyala mata card ekak evva, dan eka link karanna one.",card_linking,Neutral,Low
239,How do I add my new card to the app?,mage alut card eka app ekata danne kohomada?,card_linking,Neutral,Low
