text,category,sentiment,priority,tamil,tanglish,translation_status,model
Can I get an update on my replacement card?,card_arrival,Neutral,Low,எனது மாற்று அட்டை பற்றிய புதிய தகவலைப் பெற முடியுமா?,Enoda replacement card pathina update ethavathu kidaikuma?,completed,gemini-3.5-flash
How long does it take for a new card to ship?,card_arrival,Neutral,Low,ஒரு புதிய அட்டை அனுப்பப்படுவதற்கு எவ்வளவு காலம் எடுக்கும்?,Oru puthiya card ship panna evvalavu kaalam edukum?,completed,gemini-3.5-flash
What's the tracking on the card you sent?,card_arrival,Neutral,Low,நீங்கள் அனுப்பிய அட்டையின் கண்காணிப்பு விபரம் என்ன?,Neenga anupina card-oda tracking details enna?,completed,gemini-3.5-flash
I haven't received my card and am worried it is lost.,card_arrival,Neutral,Low,"எனது அட்டை எனக்குக் கிடைக்கவில்லை, அது தொலைந்துவிட்டதோ என்று கவலையாக இருக்கிறது.","Enoda card enaku kidaikala, athu tholanjitatho nu kavalaiya iruku.",completed,gemini-3.5-flash
My card still hasn't been delivered,card_arrival,Neutral,Low,எனது அட்டை இன்னும் விநியோகிக்கப்படவில்லை.,Enoda card innum delivery aagala.,completed,gemini-3.5-flash
I need to find out where the card is that I ordered.,card_arrival,Neutral,Low,நான் ஓடர் செய்த அட்டை எங்கே இருக்கிறது என்பதை நான் கண்டறிய வேண்டும்.,Naan order panna card enga iruku nu naan kandupidika vendum.,completed,gemini-3.5-flash
Where is my credit card that was to be mailed?,card_arrival,Neutral,Low,தபாலில் அனுப்பப்பட வேண்டிய எனது கிரெடிட் கார்ட் எங்கே?,Enaku postla vara vendiya credit card enga?,completed,gemini-3.5-flash
I ordered my card but it hasn't been delivered yet,card_arrival,Neutral,Low,"நான் எனது கார்ட்டை ஓடர் செய்தேன், ஆனால் அது இன்னும் வந்து சேரவில்லை.","Naan enoda card order pannen, aana innum deliver aagala.",completed,gemini-3.5-flash
Am I able to track the card that was just sent to me?,card_arrival,Positive,Low,எனக்கு இப்போது அனுப்பப்பட்ட கார்ட்டை என்னால் ட்ராக் செய்ய முடியுமா?,Enaku ipo anupuna card-a track panna mudiyuma?,completed,gemini-3.5-flash
Can you tell me why I haven't received my new card?,card_arrival,Neutral,Low,எனது புதிய கார்ட் எனக்கு ஏன் இன்னும் கிடைக்கவில்லை என்று சொல்ல முடியுமா?,Enoda puthu card yen innum varala nu solla mudiyuma?,completed,gemini-3.5-flash
I'm still waiting for my new card.,card_arrival,Neutral,Low,நான் இன்னும் எனது புதிய கார்ட்டுக்காகக் காத்திருக்கிறேன்.,Naan innum enoda puthu card-kaga wait panren.,completed,gemini-3.5-flash
Is my card lost? I am still waiting for it to be delivered.,card_arrival,Neutral,Low,எனது கார்ட் தொலைந்துவிட்டதா? அது வந்து சேருவதற்காக நான் இன்னும் காத்திருக்கிறேன்.,Enoda card tholanjiducha? Naan innum athu deliver aagurathuku wait panren.,completed,gemini-3.5-flash
Should I keep waiting for my card to be delivered?,card_arrival,Neutral,Low,எனது கார்ட் வந்து சேரும் வரை நான் தொடர்ந்து காத்திருக்க வேண்டுமா?,Enoda card varathuku naan innum wait pannanuma?,completed,gemini-3.5-flash
Can I track when my card will be delivered?,card_arrival,Neutral,Low,எனது கார்ட் எப்போது வந்து சேரும் என்பதை என்னால் ட்ராக் செய்ய முடியுமா?,Enoda card epo deliver aagum nu track panna mudiyuma?,completed,gemini-3.5-flash
How can I check on the status of my new card?,card_arrival,Neutral,Low,எனது புதிய கார்ட்டின் நிலையை நான் எவ்வாறு சரிபார்ப்பது?,Enoda puthu card status-a eppadi check panrathu?,completed,gemini-3.5-flash
"A card has been sent to me, how do I track it?",card_arrival,Neutral,Low,"எனக்கு ஒரு கார்ட் அனுப்பப்பட்டுள்ளது, அதை நான் எவ்வாறு ட்ராக் செய்வது?","Enaku oru card anupirukanga, atha eppadi track panrathu?",completed,gemini-3.5-flash
Is there a way I can get my card expedited?,card_arrival,Neutral,Low,எனது கார்ட்டை விரைவாகப் பெறுவதற்கு ஏதேனும் வழி இருக்கிறதா?,Enoda card-a seekiram vanga ethachum vazhi iruka?,completed,gemini-3.5-flash
What can I do to track the card you sent me?,card_arrival,Neutral,Low,நீங்கள் எனக்கு அனுப்பிய கார்ட்டை ட்ராக் செய்ய நான் என்ன செய்ய வேண்டும்?,Neenga anupuna card-a track panna naan enna pannanum?,completed,gemini-3.5-flash
why hasnt my card come in yet?,card_arrival,Neutral,Low,எனது கார்ட் ஏன் இன்னும் வந்து சேரவில்லை?,Yen enoda card innum varala?,completed,gemini-3.5-flash
How can I periodically check the delivery of the card you sent?,card_arrival,Neutral,Low,நீங்கள் அனுப்பிய கார்ட் வந்து சேருவதை நான் அவ்வப்போது எவ்வாறு சரிபார்க்கலாம்?,Neenga anupuna card delivery-a naan eppadi adikkadi check panrathu?,completed,gemini-3.5-flash
What's the reason my new card hasn't come?,card_arrival,Neutral,Low,எனது புதிய கார்ட் வராததற்கான காரணம் என்ன?,Enoda puthu card varathathuku enna kaaranam?,completed,gemini-3.5-flash
How long does it take for me to get my new card?,card_arrival,Neutral,Low,எனது புதிய கார்ட்டைப் பெறுவதற்கு எனக்கு எவ்வளவு காலம் எடுக்கும்?,Enoda puthu card kedaika enaku evlo naal aagum?,completed,gemini-3.5-flash
I don't have my card after 1 week. What are my next steps?,card_arrival,Neutral,Low,1 வாரம் ஆகியும் எனது கார்ட் எனக்குக் கிடைக்கவில்லை. எனது அடுத்த கட்ட நடவடிக்கை என்ன?,Oru vaaram aayum enoda card kedaikala. Naan aduthu enna pannanum?,completed,gemini-3.5-flash
I know I'm getting a new card but would like know when I can expect to receive it.,card_arrival,Neutral,Low,"எனக்குப் புதிய கார்ட் வரப்போகிறது என்று தெரியும், ஆனால் அதை எப்போது எதிர்பார்க்கலாம் என்று அறிய விரும்புகிறேன்.","Enaku puthu card varuthu nu theriyum, aana epo kedaikum nu therinjika aasai paduren.",completed,gemini-3.5-flash
I want to find out what happened to my new card?,card_arrival,Neutral,Low,எனது புதிய கார்ட்டுக்கு என்ன நடந்தது என்று நான் தெரிந்துகொள்ள வேண்டும்?,Enoda puthu card-ku enna aachu nu naan therinjikanum?,completed,gemini-3.5-flash
Was there a way for me to get tracking for that?,card_arrival,Neutral,Low,அதை ட்ராக் செய்வதற்கு எனக்கு ஏதேனும் வழி இருந்ததா?,Atha track panrathuku ethachum vazhi irunthatha?,completed,gemini-3.5-flash
I am still waiting for my card.,card_arrival,Neutral,Low,நான் இன்னும் எனது கார்ட்டுக்காகக் காத்திருக்கிறேன்.,Naan innum enoda card-kaga wait panren.,completed,gemini-3.5-flash
My card hasn't arrived.,card_arrival,Neutral,Low,எனது கார்ட் இன்னும் வந்து சேரவில்லை.,Enoda card innum varala.,completed,gemini-3.5-flash
Can I track the card you sent to me?,card_arrival,Neutral,Low,நீங்கள் எனக்கு அனுப்பிய கார்ட்டை என்னால் ட்ராக் செய்ய முடியுமா?,Neenga enaku anupuna card-a track panna mudiyuma?,completed,gemini-3.5-flash
I haven't gotten my new card.,card_arrival,Neutral,Low,எனக்கு எனது புதிய கார்ட் கிடைக்கவில்லை.,Enaku enoda puthu card kedaikala.,completed,gemini-3.5-flash
How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,card_arrival,Neutral,Low,எனது புதிய கார்ட் தபாலில் வந்து சேர எவ்வளவு காலம் எடுக்கும்? அது எனக்குக் கிடைக்காவிட்டால் நான் என்ன செய்ய வேண்டும்?,Enoda puthu card postla varathuku evlo naal aagum? Oruvelai kedaikalana naan enna pannanum?,completed,gemini-3.5-flash
Will I have to wait much longer for my new card to arrive?,card_arrival,Neutral,Low,எனது புதிய கார்ட் வந்து சேருவதற்கு நான் இன்னும் நீண்ட நேரம் காத்திருக்க வேண்டுமா?,Enoda puthu card varathuku naan innum romba neram wait pannanuma?,completed,gemini-3.5-flash
how to track the card you sent,card_arrival,Neutral,Low,நீங்கள் அனுப்பிய கார்ட்டை எவ்வாறு ட்ராக் செய்வது?,Neenga anupuna card-a eppadi track panrathu?,completed,gemini-3.5-flash
2 weeks ago I ordered my new card.  It isn't here.  What should I do?,card_arrival,Neutral,Low,2 வாரங்களுக்கு முன்பு நான் எனது புதிய கார்ட்டை ஓடர் செய்தேன். அது இன்னும் இங்கு வரவில்லை. நான் என்ன செய்ய வேண்டும்?,Rendu vaarathuku munnadi naan puthu card order pannen. Athu innum varala. Naan enna pannanum?,completed,gemini-3.5-flash
How can I check on the delivery status of my card?,card_arrival,Neutral,Low,எனது கார்ட் வந்து சேரும் நிலையை நான் எவ்வாறு சரிபார்ப்பது?,Enoda card delivery status-a eppadi check panrathu?,completed,gemini-3.5-flash
"My card has not been delivered yet and its been a week since I ordered it, please help",card_arrival,Neutral,Low,"நான் ஓடர் செய்து ஒரு வாரம் ஆகியும் எனது கார்ட் இன்னும் வந்து சேரவில்லை, தயவுசெய்து உதவுங்கள்.","Naan order panni oru vaaram aayum enoda card innum deliver aagala, konjam help pannunga.",completed,gemini-3.5-flash
What's the expected wait time to recieve my new card?,card_arrival,Neutral,Low,எனது புதிய கார்ட்டைப் பெறுவதற்கு எதிர்பார்க்கப்படும் காத்திருப்பு காலம் என்ன?,Enoda puthu card kedaika evlo naal wait pannanum?,completed,gemini-3.5-flash
How can I see the progress of delivery of the card that was sent?,card_arrival,Neutral,Low,அனுப்பப்பட்ட கார்ட் வந்து சேரும் நிலையை நான் எவ்வாறு பார்ப்பது?,Anupuna card delivery progress-a eppadi pakrathu?,completed,gemini-3.5-flash
"My card was supposed to arrive, but hasn't?",card_arrival,Neutral,Low,"எனது கார்ட் வந்திருக்க வேண்டும், ஆனால் இன்னும் வரவில்லையா?","Enoda card vanthirukanum, aana innum varalaiya?",completed,gemini-3.5-flash
I ordered a card and would like to know how to track the delivery progress of it.,card_arrival,Neutral,Low,"நான் ஒரு கார்ட் ஓடர் செய்துள்ளேன், அதன் டெலிவரி நிலையை எவ்வாறு ட்ராக் செய்வது என்று அறிய விரும்புகிறேன்.","Naan oru card order panni iruken, athoda delivery progress-a eppadi track panrathu nu therinjika aasai paduren.",completed,gemini-3.5-flash
How long will it take for me to get my card?,card_arrival,Neutral,Low,எனது கார்ட்டைப் பெறுவதற்கு எனக்கு எவ்வளவு காலம் எடுக்கும்?,Enoda card kedaika enaku evlo naal aagum?,completed,gemini-3.5-flash
My card hasn't shown up yet.,card_arrival,Neutral,Low,எனது கார்ட் இன்னும் வரவில்லை.,Enoda card innum varala.,completed,gemini-3.5-flash
Does the card you sent have a tracking number?,card_arrival,Neutral,Low,நீங்கள் அனுப்பிய கார்ட்டில் ட்ராக்கிங் இலக்கம் இருக்கிறதா?,Neenga anupuna card-ku tracking number iruka?,completed,gemini-3.5-flash
My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,card_arrival,Neutral,Low,எனது கார்ட் இன்னும் தபாலில் வந்து சேரவில்லை. நான் அதை இரண்டு வாரங்களுக்கு முன்பு ஓடர் செய்தேன். நான் என்ன செய்ய முடியும்?,Enoda card innum postla varala. Naan rendu vaarathuku munnadi order pannen. Naan enna panna mudiyum?,completed,gemini-3.5-flash
maximum how many days get the courier?,card_arrival,Positive,Low,கூரியர் வந்து சேர அதிகபட்சம் எத்தனை நாட்கள் ஆகும்?,Courier kedaika maximum evlo naal aagum?,completed,gemini-3.5-flash
Is there a reason my new card hasn't arrived yet?,card_arrival,Neutral,Low,எனது புதிய கார்ட் இன்னும் வந்து சேராததற்கு ஏதேனும் காரணம் இருக்கிறதா?,Enoda puthu card innum varathathuku ethachum kaaranam iruka?,completed,gemini-3.5-flash
"I've been waiting a while for my card, is there a way to know when it will arrive?",card_arrival,Neutral,Low,"எனது அட்டைக்காக நான் கொஞ்சக் காலமாக காத்துக்கொண்டிருக்கிறேன், அது எப்போது வந்து சேரும் என்று தெரிந்துகொள்ள ஏதேனும் வழி இருக்கிறதா?","Enoda card-kaga naan konja kalama wait pannitiruken, adhu epo vandhu serum nu therinjuka edhavadhu vazhi iruka?",completed,gemini-3.5-flash
How can I track my card's delivery?,card_arrival,Neutral,Low,எனது அட்டை வந்து சேருவதை நான் எவ்வாறு கண்காணிக்கலாம்?,Enoda card delivery-a naan epadi track panradhu?,completed,gemini-3.5-flash
Can I track the card that was just sent to me?,card_arrival,Neutral,Low,எனக்கு இப்போதுதான் அனுப்பப்பட்ட அட்டையை நான் கண்காணிக்க முடியுமா?,Enaku ipodhan anupapatta card-a track panna mudiyuma?,completed,gemini-3.5-flash
"If I ordered my new card last week, how much longer should I wait to receive it?",card_arrival,Neutral,Low,"கடந்த வாரம் எனது புதிய அட்டையை நான் ஓடர் செய்திருந்தால், அதைத் பெற்றுக்கொள்ள இன்னும் எவ்வளவு காலம் நான் காத்திருக்க வேண்டும்?","Kadantha vaaram enoda pudhiya card-a naan order seidhirundha, adha vanga inum evlo kaalam wait pannanum?",completed,gemini-3.5-flash
"What's go on, where is my new card?",card_arrival,Neutral,Low,"என்ன நடக்கிறது, எனது புதிய அட்டை எங்கே?","Enna nadakudhu, enoda pudhu card enga?",completed,gemini-3.5-flash
Where is my new card if I haven't received it yet?,card_arrival,Neutral,Low,"எனக்கு இன்னும் கிடைக்கவில்லை என்றால், எனது புதிய அட்டை எங்கே இருக்கிறது?","Enaku inum kidaikala na, enoda pudhu card enga iruku?",completed,gemini-3.5-flash
Where is my card?,card_arrival,Neutral,Low,எனது அட்டை எங்கே?,Enoda card enga?,completed,gemini-3.5-flash
Can you tell me why I haven't received my new card yet?,card_arrival,Neutral,Low,எனது புதிய அட்டை எனக்கு இன்னும் ஏன் கிடைக்கவில்லை என்று கூற முடியுமா?,Enoda pudhu card enaku inum yen kidaikala nu solla mudiyuma?,completed,gemini-3.5-flash
Is there a way to track my card?,card_arrival,Neutral,Low,எனது அட்டையைக் கண்காணிப்பதற்கு ஏதேனும் வழி இருக்கிறதா?,Enoda card-a track panna edhavadhu vazhi iruka?,completed,gemini-3.5-flash
Is there a way to track the new card you sent me?,card_arrival,Neutral,Low,நீங்கள் எனக்கு அனுப்பிய புதிய அட்டையைக் கண்காணிப்பதற்கு ஏதேனும் வழி இருக்கிறதா?,Neenga enaku anupina pudhu card-a track panna edhavadhu vazhi iruka?,completed,gemini-3.5-flash
I'm still waiting for my card.,card_arrival,Neutral,Low,நான் இன்னும் எனது அட்டைக்காகக் காத்துக்கொண்டிருக்கிறேன்.,Naan inum enoda card-kaga wait pannitiruken.,completed,gemini-3.5-flash
What do I need to do to get my new card which I have requested 2 weeks ago?,card_arrival,Neutral,Low,2 வாரங்களுக்கு முன்பு நான் கோரிய எனது புதிய அட்டையைப் பெறுவதற்கு நான் என்ன செய்ய வேண்டும்?,2 vaarathuku munnadi naan ketta enoda pudhu card-a vanga naan enna pannanum?,completed,gemini-3.5-flash
WHAT IS THE SOLUTION OF THIS PROBLEM,card_arrival,Neutral,Low,இந்தப் பிரச்சினைக்கான தீர்வு என்ன?,Indha prachanaikana theervu enna?,completed,gemini-3.5-flash
Could I get tracking on the card?,card_arrival,Neutral,Low,அட்டையைக் கண்காணிப்பதற்கான விபரங்களை நான் பெற முடியுமா?,Card-a track panra details-a naan vanga mudiyuma?,completed,gemini-3.5-flash
Can you help me track my card?,card_arrival,Neutral,Low,எனது அட்டையைக் கண்காணிக்க எனக்கு உதவ முடியுமா?,Enoda card-a track panna enaku udhava mudiyuma?,completed,gemini-3.5-flash
Shouldn't my new card be here by now?,card_arrival,Neutral,Low,எனது புதிய அட்டை இந்நேரம் இங்கு வந்திருக்க வேண்டுமல்லவா?,Enoda pudhu card ineram inga vandhiruka vendumallava?,completed,gemini-3.5-flash
Is there a reason my new card hasn't arrived?,card_arrival,Neutral,Low,எனது புதிய அட்டை வந்து சேராததற்கு ஏதேனும் காரணம் இருக்கிறதா?,Enoda pudhu card vandhu seradhadhuku edhavadhu kaaranam iruka?,completed,gemini-3.5-flash
"I would like to track a card sent to me, how do I do that?",card_arrival,Neutral,Low,"எனக்கு அனுப்பப்பட்ட அட்டையைக் கண்காணிக்க விரும்புகிறேன், அதை நான் எவ்வாறு செய்வது?","Enaku anupapatta card-a track panna virumburen, adha naan epadi panradhu?",completed,gemini-3.5-flash
Is there a tracking number for the card?,card_arrival,Neutral,Low,அட்டைக்கான கண்காணிப்பு இலக்கம் ஏதேனும் இருக்கிறதா?,Card-kaga tracking number edhavadhu iruka?,completed,gemini-3.5-flash
can you share card tracking number?,card_arrival,Neutral,Low,அட்டையின் கண்காணிப்பு இலக்கத்தைப் பகிர முடியுமா?,Card tracking number-a share panna mudiyuma?,completed,gemini-3.5-flash
"I have not received my card and it's been a week, what do I do?",card_arrival,Neutral,Low,"ஒரு வாரம் ஆகியும் எனது அட்டை எனக்குக் கிடைக்கவில்லை, நான் என்ன செய்வது?","Oru vaaram aagiyum enoda card enaku kidaikala, naan enna panradhu?",completed,gemini-3.5-flash
Is there a way I can check on the card on route to me?,card_arrival,Neutral,Low,எனக்கு அனுப்பப்பட்டுக் கொண்டிருக்கும் அட்டையின் நிலையைச் சரிபார்க்க ஏதேனும் வழி இருக்கிறதா?,Enaku anupapatu kondirukum card-oda nilaiya check panna edhavadhu vazhi iruka?,completed,gemini-3.5-flash
When will my new card arrive?,card_arrival,Neutral,Low,எனது புதிய அட்டை எப்போது வந்து சேரும்?,Enoda pudhu card epo vandhu serum?,completed,gemini-3.5-flash
Why haven't I received my new card yet?,card_arrival,Neutral,Low,எனது புதிய அட்டை எனக்கு இன்னும் ஏன் கிடைக்கவில்லை?,Enoda pudhu card enaku inum yen kidaikala?,completed,gemini-3.5-flash
What is the expected delivery date of my card?,card_arrival,Neutral,Low,எனது அட்டை வந்து சேரும் என எதிர்பார்க்கப்படும் திகதி என்ன?,Enoda card vandhu serum nu edhirpaarkapadum date enna?,completed,gemini-3.5-flash
My card hasn't came in the mail yet?,card_arrival,Neutral,Low,எனது அட்டை இன்னும் தபாலில் வரவில்லையா?,Enoda card inum post-la varalaiya?,completed,gemini-3.5-flash
I haven't received my card.,card_arrival,Neutral,Low,எனது அட்டை எனக்குக் கிடைக்கவில்லை.,Enoda card enaku kidaikala.,completed,gemini-3.5-flash
Is it possible for me to track the card is was mailed to me?,card_arrival,Neutral,Low,எனக்கு தபாலில் அனுப்பப்பட்ட அட்டையைக் கண்காணிப்பது சாத்தியமா?,Enaku post-la anupapatta card-a track panradhu sathiyama?,completed,gemini-3.5-flash
When will my new card be delivered?,card_arrival,Neutral,Low,எனது புதிய அட்டை எப்போது விநியோகிக்கப்படும்?,Enoda pudhu card epo deliver panna padum?,completed,gemini-3.5-flash
I was issued a card about a week ago. why hasn't it come in yet?,card_arrival,Neutral,Low,சுமார் ஒரு வாரத்திற்கு முன்பு எனக்கு ஒரு அட்டை வழங்கப்பட்டது. அது ஏன் இன்னும் வரவில்லை?,Sumaar oru vaarathuku munnadi enaku oru card valangapatathu. Adhu yen inum varala?,completed,gemini-3.5-flash
Can you please tell me where my card is? I ordered it 2 weeks ago!,card_arrival,Neutral,Low,தயவுசெய்து எனது அட்டை எங்கே இருக்கிறது என்று கூற முடியுமா? நான் அதை 2 வாரங்களுக்கு முன்பு ஓடர் செய்தேன்!,Dayavu seidhu enoda card enga iruku nu solla mudiyuma? Naan adha 2 vaarathuku munnadi order pannen!,completed,gemini-3.5-flash
