id,row_id,text,sentiment_a1,priority_a1
351,6396,Can you help me? I have a duplicate transaction on my account and I don't understand why.,Neutral,High
29,8225,Foreign currency rates were put in wrong at an ATM i used.,Neutral,Medium
389,3031,How can I obtain a virtual card?,Neutral,Low
249,6288,What do I do if the ATM swallowed my card?,Neutral,Medium
74,8971,Is there a pay structure for currency exchanges?,Neutral,Low
193,9173,Is there a fee for adding funds with a credit card?,Neutral,Low
82,3111,Do you know which businesses will accept my card?,Neutral,Low
285,1145,Is it possible to do auto top up?,Neutral,Low
486,8912,Help! I think someone has made a cash withdrawal with my card!,Neutral,High
103,4336,Why is my 'top up' not showing up in my wallet?,Neutral,Low
75,4973,My ATM card isn't working for a withdrawl,Neutral,Medium
321,6022,What is going on? I have checked over and over and the details of my account are right. Why is my transfer still pending? It's 2018 not 1818. Transfering money to another country can't be that hard.,Negative,High
289,6724,"Hi, I had an issue with my card payment and It shows on my account that my payment went through. Then I got contacted from the seller saying ""they did not receive my payment"" then the payment was returned to my account. so I would like to see why it did that please.",Neutral,Medium
494,8913,What do I do when a charge has been made that I did not make?,Neutral,High
259,7617,"I need to transfer money into my account, and I don't know how to do that.",Neutral,Low
179,7542,"Hi, can you tell me why my transfer keeps being rejected? I've been trying to send money to my friends this morning but failed every time and I have no idea why?",Negative,Medium
295,9502,Why did you charge a fee when I withdrew from an ATM?,Neutral,Low
491,1679,Can someone assist me with explaining how I can unblock my pin?,Neutral,Medium
175,9894,What countries do your accounts send and receive to?,Neutral,Low
