id,text,sentiment,priority,notes
237,"I made a transfer and the receiver did not get the right amount its lesser than what it should be,Now I have to transfer more money to make up for the missing amount . Can you please help me about this, what should be done",,,
12,My phone was left at a hotel and I can't access the app.,,,
14,want a new card what are the fees,,,
275,Why did my transfer to a beneficiary fail?,,,
160,"This is terrible, i want to delete my account",,,
191,How much is ok for me to top up with?,,,
120,Is there a limit for age?,,,
65,Why do my transfers keep failing?,,,
271,Why would my card payment not work?,,,
130,What is the greatest number of times that I can top-up?,,,
340,My card activation attempt failed.,,,
246,When shipped to the US how long is delivery time?,,,
391,Why did I only receive a partial amount of what I tried to withdraw?,,,
270,How long does it take for me to get my new card?,,,
307,I inadvertently completed a transaction on a wrong account.,,,
128,It has been forever ago that I made an order online. The product simply is not coming. Just give me back my money because I'm not paying these people.,,,
296,"phone is gone, dont want others to access account information",,,
124,When will my returned transaction show up on my account?,,,
43,I think my card is stolen!,,,
136,Help! I've forgot my app passcode!,,,
354,What places accept my card?,,,
185,My payment was stopped,,,
190,"I made a mistake when making my last transfer, please cancel before it goes thru.",,,
374,I believe my top up is still pending,,,
138,How do I get my card back after the ATM swallowed it.,,,
80,I think I am having an issue with withdraws on my card. It was declined on the way to work this morning. This hasn't happened in the past.,,,
154,Why can I not get cash from the ATM?,,,
202,How long does it take overseas to do a transfer?,,,
176,"My payment has been declined!! What's going on, I thought everything was alright and working well?",,,
161,My contactless payments don't work.,,,
405,Can someone please tell me how much I can top-up?,,,
42,How do I access the option to top up?,,,
326,"I already paid to top-up but the funds aren't available yet, where are they?",,,
437,I have an unusual payment in my statement,,,
156,Hello. I just noticed I was charged two times for a restaurant I visited this week. Can you reverse the additional charge?,,,
56,Is there any reason my cash withdrawal still shows as pending?,,,
16,"please help me with this transfer, for some reason i can't transfer to a cryptocurency account",,,
188,What fees are charged for a physical card?,,,
395,My funds are not transferring to my bank. Why is this not working?,,,
420,I lost track of my card,,,
461,I have a transfer that is pending.,,,
25,I hope you can help me. Someone has stolen my wallet and now I have noticed that they have been taking money from my account.,,,
293,The exchange rate you are using is really bad.This can't be the official interbank exchange rate.,,,
447,"Although I transferred some money, it has not as of yet, arrived.",,,
407,How can correct Top up with the app to work correctly?,,,
301,I didn't get the correct amount of money from the ATM machine,,,
227,"My card payment is just showing up as pending since forever, what's going on with that, it should be going through at some point?",,,
40,How can I receive my salary with a different currency?,,,
171,Was there a problem with topping up?,,,
496,"I don't like the services, please close my account",,,
220,Why do you guys need to verify my identity?,,,
472,A debit came through that I need to dispute.,,,
158,I hate this company! Can you delete my account?,,,
460,What can I do if my card details where stolen from my car? I think they used my card to buy gas.,,,
113,I need my refund,,,
487,Why is a payment I made reverted back to my account?,,,
269,Where should I look for my PIN number at?,,,
230,Let me know when you charge for payments. I just checked the app and saw a fee that I wasn't warned about.,,,
118,"How long is a top up supposed to be pending, because an hour is too long! Can you fix this to go through?",,,
474,I cant find my card.,,,
350,How can I dispute a debit transaction?,,,
24,why do i need to verify the top up?,,,
329,I don't remember my passcode?,,,
434,Why was I charged for payments? You didn't warn me about additional fees.,,,
397,Do I get to have one of those virtual cards I've heard about?,,,
1,I had a card payment that was declined.  Why?,,,
216,I don't recognize a purchase that was made with my card.,,,
107,What should I do if I can't prove my identity.,,,
30,I want to stop my account,,,
463,"My bag was stolen from me yesterday, so I can't use any apps or anything. I need some help.",,,
425,My credit card got declined for top up! What's going on? Can you check on why it didn't go through?,,,
435,"Hey I am standing in front of an ATM here, it only gave me Rs 10,000 even though I wanted to withdraw Rs 30,000! Seems like the app has Rs 30,000, what do I do??",,,
298,"Hi, I lost my phone yesterday, what can I do to stop someone using my account on it?",,,
34,How long do I have to wait for the transfer to be finalized?,,,
178,"I want to reactivate my card, I thought I had lost it but found it again this morning.",,,
279,I would like to cancel my order.,,,
145,The app says I made a cash withdrawal even though I didn't.,,,
498,"How much time do transfers take? I sent money to a friend who needs it fast. It's been hours, and the money has not gone through.",,,
159,What do I do if the ATM took my card?,,,
385,I do not understand why my pass-code is not working.,,,
20,Are you able to guide me to my card's location?,,,
44,I was charged several times for something,,,
481,I forgot what my pin number is and now am blocked can you help me get in?,,,
199,When will my card come? I need it as soon as possible!,,,
476,Does the package with my card have tracking?,,,
99,There is a strange charge on my debit statement,,,
50,"I have been charged to much for the object I bought when abroad, the exchange rate seems to be wrong.",,,
10,"This morning I wanted to make a withdrawal before work, but my card was declined! Please double check it for me as this is the first time it was declined.",,,
248,"Hello. I tried doing a topup and I thought it worked, but now the money is no longer in my account. Can you explain?",,,
492,I have been travelling overseas and I need to change my PIN. Can you tell me how this is done?,,,
384,I had the wrong exchange rate applied to some cash I got abroad.,,,
458,"If I exchange foreign currency, are there any other charges?",,,
462,I forgot my passcode. Now what?,,,
102,My account shows up as pending after I received cash from the ATM earlier.  How can this be still pending? I've got the cash already.,,,
200,Card payment has be declined.,,,
174,What is this strange payment in my account?,,,
252,Why would I get a decline message in a transfer?,,,
488,Can I dispute a debit payment that I am seeing that I didn't make from a couple of months ago?,,,
396,This exchange rate you use is awful! Please tell me this is a mistake and not the official interbank exchange rate!,,,
60,Where is the top-up verification code sent?,,,
81,How far is the closest ATM from me?,,,
366,How low does the balance have to be before the system updates?,,,
91,I have a duplicate charge,,,
15,I can't use my virtual disposable card,,,
97,I was charged a hidden fee when I paid with card.,,,
183,"Did you lose my money? I had added funds through top-up not long ago and I know they were in my account, but they seem to have disappeared. What happened?",,,
187,I am still waiting for a transfer to show,,,
135,I need to transfer something to China. It is urgent. How many days will it take to get there?,,,
110,My transfer to an account failed.,,,
122,"I made a transfer and according to the receiver ""they haven't received the right amount"" Its lesser than it should be.Now I have to transfer more money to make up for the missing amount . Can you please help me about this,what should be done",,,
61,"Hello. My credit keeps being declined, last night and again today, as I try to buy something. What is the status of my card?",,,
223,I want to cancel my card. I think someone else is using it.,,,
126,"I requested a refund from a merchant several days ago, but don't see anything showing up in my account yet.  Can you check on your end to see if the money has reached you guys?",,,
72,"I need to refund my item, can you please help?",,,
79,"How long does EU transfer take? I bought something online a couple days ago , sent the money immediately online but the seller says it is still not there yet",,,
297,Why is the payment from my card still pending?,,,
242,It's been a week since I ordered my card and it's not here. Please help?,,,
490,I found a charge on my debit that I did not make.,,,
388,How do I order a card?,,,
123,"I can't get my card out of the ATM, what should I do now?",,,
153,Is there a fee for paying by card?,,,
48,The ATM shows a withdraw of the amount of money I requested but I didn't revieve that amount in cash.,,,
489,How do I report fraud on my card?,,,
386,What do you require to verify someone's identity?,,,
410,Give me a refund,,,
361,Someone must have found my card details as I don't recognize these transactions.,,,
443,"I tempted to get some money out of the machine earlier and it did not work.Looking now, the transaction actually shows to still be in progress. I would certainly appreciate someone look into this and let me know what's going on. I definitely do not want to be charged for money I never received.",,,
93,What is your age limit?,,,
239,Why are top-ups being verified?,,,
143,How long do transfers typically take? Is there a way of speeding the process up? My friend needs the money I sent her desperately.,,,
415,"My transfer failed, why did that happen?",,,
96,Why are you charging me a transfer fee?,,,
225,Why won't you accept my payment? I keep trying with this card and it's not working.,,,
351,Can you help me? I have a duplicate transaction on my account and I don't understand why.,,,
29,Foreign currency rates were put in wrong at an ATM i used.,,,
389,How can I obtain a virtual card?,,,
249,What do I do if the ATM swallowed my card?,,,
74,Is there a pay structure for currency exchanges?,,,
193,Is there a fee for adding funds with a credit card?,,,
82,Do you know which businesses will accept my card?,,,
285,Is it possible to do auto top up?,,,
486,Help! I think someone has made a cash withdrawal with my card!,,,
103,Why is my 'top up' not showing up in my wallet?,,,
75,My ATM card isn't working for a withdrawl,,,
321,What is going on? I have checked over and over and the details of my account are right. Why is my transfer still pending? It's 2018 not 1818. Transfering money to another country can't be that hard.,,,
289,"Hi, I had an issue with my card payment and It shows on my account that my payment went through. Then I got contacted from the seller saying ""they did not receive my payment"" then the payment was returned to my account. so I would like to see why it did that please.",,,
494,What do I do when a charge has been made that I did not make?,,,
259,"I need to transfer money into my account, and I don't know how to do that.",,,
179,"Hi, can you tell me why my transfer keeps being rejected? I've been trying to send money to my friends this morning but failed every time and I have no idea why?",,,
295,Why did you charge a fee when I withdrew from an ATM?,,,
491,Can someone assist me with explaining how I can unblock my pin?,,,
175,What countries do your accounts send and receive to?,,,
