row_index,text,category,sentiment_existing,priority_existing,vader_compound,negativity_score,positive_flag,suggested_sentiment,suggested_priority,priority_content_support,has_urgent_cue,strong_neg_hits,urgent_hits
31,I would like to track the card you sent to me.,card_arrival,Neutral,Low,0.361,0.0,False,Neutral,Low,False,False,,
32,Has my card been lost in delivery?,card_arrival,Neutral,Low,-0.318,1.6,False,Neutral,Low,False,False,,
33,My new card hasn't came in.,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
34,Where is the card I ordered 2 weeks ago?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
35,Can I get an update on my replacement card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
36,How long does it take for a new card to ship?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
37,What's the tracking on the card you sent?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
38,I haven't received my card and am worried it is lost.,card_arrival,Neutral,Low,-0.542,2.7,False,Mildly Negative,Low,False,False,,
39,My card still hasn't been delivered,card_arrival,Neutral,Low,0.0,1.5,False,Neutral,Low,False,False,still hasn't,
40,I need to find out where the card is that I ordered.,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
41,Where is my credit card that was to be mailed?,card_arrival,Neutral,Low,0.382,0.0,False,Neutral,Low,False,False,,
42,I ordered my card but it hasn't been delivered yet,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
43,Am I able to track the card that was just sent to me?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
44,Can you tell me why I haven't received my new card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
45,I'm still waiting for my new card.,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
46,Is my card lost? I am still waiting for it to be delivered.,card_arrival,Neutral,Low,-0.318,1.6,False,Neutral,Low,False,False,,
47,Should I keep waiting for my card to be delivered?,card_arrival,Neutral,Low,0.0,1.5,False,Neutral,Low,False,False,keep waiting,
48,Can I track when my card will be delivered?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
49,How can I check on the status of my new card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
50,"A card has been sent to me, how do I track it?",card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
51,Is there a way I can get my card expedited?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
52,What can I do to track the card you sent me?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
53,why hasnt my card come in yet?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
54,How can I periodically check the delivery of the card you sent?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
55,What's the reason my new card hasn't come?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
56,How long does it take for me to get my new card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
57,I don't have my card after 1 week. What are my next steps?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
58,I know I'm getting a new card but would like know when I can expect to receive it.,card_arrival,Neutral,Low,0.502,0.0,False,Neutral,Low,False,False,,
59,I want to find out what happened to my new card?,card_arrival,Neutral,Low,0.077,0.0,False,Neutral,Low,False,False,,
60,Was there a way for me to get tracking for that?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
61,I am still waiting for my card.,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
62,My card hasn't arrived.,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
63,Can I track the card you sent to me?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
64,I haven't gotten my new card.,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
65,How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
66,Will I have to wait much longer for my new card to arrive?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
67,how to track the card you sent,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
68,2 weeks ago I ordered my new card.  It isn't here.  What should I do?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
69,How can I check on the delivery status of my card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
70,"My card has not been delivered yet and its been a week since I ordered it, please help",card_arrival,Neutral,Low,0.612,0.0,False,Neutral,Low,False,False,,
71,What's the expected wait time to recieve my new card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
72,How can I see the progress of delivery of the card that was sent?,card_arrival,Neutral,Low,0.421,0.0,False,Neutral,Low,False,False,,
73,"My card was supposed to arrive, but hasn't?",card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
74,I ordered a card and would like to know how to track the delivery progress of it.,card_arrival,Neutral,Low,0.649,0.0,False,Neutral,Low,False,False,,
75,How long will it take for me to get my card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
76,My card hasn't shown up yet.,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
77,Does the card you sent have a tracking number?,card_arrival,Neutral,Low,0.077,0.0,False,Neutral,Low,False,False,,
78,My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
79,maximum how many days get the courier?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
80,Is there a reason my new card hasn't arrived yet?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
81,"I've been waiting a while for my card, is there a way to know when it will arrive?",card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
82,How can I track my card's delivery?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
83,Can I track the card that was just sent to me?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
84,"If I ordered my new card last week, how much longer should I wait to receive it?",card_arrival,Neutral,Low,0.0,1.5,False,Neutral,Low,False,False,how much longer,
85,"What's go on, where is my new card?",card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
86,Where is my new card if I haven't received it yet?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
87,Where is my card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
88,Can you tell me why I haven't received my new card yet?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
89,Is there a way to track my card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
90,Is there a way to track the new card you sent me?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
91,I'm still waiting for my card.,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
92,What do I need to do to get my new card which I have requested 2 weeks ago?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
93,WHAT IS THE SOLUTION OF THIS PROBLEM,card_arrival,Neutral,Low,-0.103,0.5,False,Neutral,Low,False,False,,
94,Could I get tracking on the card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
95,Can you help me track my card?,card_arrival,Neutral,Low,0.402,0.0,False,Neutral,Low,False,False,,
96,Shouldn't my new card be here by now?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
97,Is there a reason my new card hasn't arrived?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
98,"I would like to track a card sent to me, how do I do that?",card_arrival,Neutral,Low,0.361,0.0,False,Neutral,Low,False,False,,
99,Is there a tracking number for the card?,card_arrival,Neutral,Low,0.077,0.0,False,Neutral,Low,False,False,,
100,can you share card tracking number?,card_arrival,Neutral,Low,0.361,0.0,False,Neutral,Low,False,False,,
101,"I have not received my card and it's been a week, what do I do?",card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
102,Is there a way I can check on the card on route to me?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
103,When will my new card arrive?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
104,Why haven't I received my new card yet?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
105,What is the expected delivery date of my card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
106,My card hasn't came in the mail yet?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
107,I haven't received my card.,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
108,Is it possible for me to track the card is was mailed to me?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
109,When will my new card be delivered?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
110,I was issued a card about a week ago. why hasn't it come in yet?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
111,Can you please tell me where my card is? I ordered it 2 weeks ago!,card_arrival,Neutral,Low,0.38,0.5,False,Neutral,Low,False,False,,
112,I still haven't received my card in the mail,card_arrival,Neutral,Low,0.0,1.5,False,Neutral,Low,False,False,still haven't,
113,I'm still waiting for my card that was issued a week ago. What should I do?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
114,I still haven't gotten my new card.  When will it get here?,card_arrival,Neutral,Low,0.0,1.5,False,Neutral,Low,False,False,still haven't,
115,Do you have a tracking number for the card I was sent?,card_arrival,Neutral,Low,0.077,0.0,False,Neutral,Low,False,False,,
116,How do I track the card you sent to me?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
117,Is my new bank card on the way and is there a way to track it?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
118,Could you send me and up date on the arrival of my card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
119,How long does it take to recieve my new card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
120,My card has not come in the mail yet.,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
121,What's the card you sent me's tracking number?,card_arrival,Neutral,Low,0.077,0.0,False,Neutral,Low,False,False,,
122,i havent got my card,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
123,Why hasn't my card arrived yet?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
124,I thought I would have received my new card at this point.,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
125,How long until my new card gets here?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
126,How much longer until I get my new card?,card_arrival,Neutral,Low,0.0,1.5,False,Neutral,Low,False,False,How much longer,
127,Am I able to track a card that has already been sent?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
128,Is it possible to track the card you sent me?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
129,How long will it be to get this new card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
130,how can i track card you sent,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
131,Can the card was sen to me be tracked?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
132,why have i not got my new card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
133,I need to track the card sent to me.,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
134,"It's been two weeks and I haven't gotten my card, what do I do?",card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
135,I was expecting my new card by now.,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
136,Where is the tracking number for the card?,card_arrival,Neutral,Low,0.077,0.0,False,Neutral,Low,False,False,,
137,I was issued a new card a week ago but still haven't received it. How long will it be until I receive it?,card_arrival,Neutral,Low,0.0,1.5,False,Neutral,Low,False,False,still haven't,
138,Can I track the card that you sent me in the mail?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
139,Can you tell me if I can track the card you sent me?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
140,Why have I not gotten my new card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
141,I'm still waiting on my new card to be delivered!,card_arrival,Neutral,Low,0.0,0.5,False,Neutral,Low,False,False,,
142,My new card isn't here and it was issued a week ago.,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
143,"I was supposed to receive my new card by now, but it hasn't came in.",card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
144,Is a tracking number available for the card that was just sent?,card_arrival,Neutral,Low,0.077,0.0,False,Neutral,Low,False,False,,
145,Why haven't I gotten my new card?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
146,Was there a number to track that I could get?,card_arrival,Neutral,Low,0.077,0.0,False,Neutral,Low,False,False,,
147,How much longer is it going to take to get my new card?,card_arrival,Neutral,Low,0.0,1.5,False,Neutral,Low,False,False,How much longer,
148,I haven't gotten my credit card in the mail.,card_arrival,Neutral,Low,-0.292,1.5,False,Neutral,Low,False,False,,
149,My card hasn't arrived yet. What do I do?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
150,"My card still hasn't arrived after two weeks, now what?",card_arrival,Neutral,Low,0.0,1.5,False,Neutral,Low,False,False,still hasn't,
151,My card appears to have never arrived?,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
152,My card never arrived.,card_arrival,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
153,My card has been found. Is there any way for me to put it back into the app?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
154,I was able to find my card. How to I go about putting it into my app?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
155,how do I get my card to show in the app?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
156,I just got my card.  It's not linked yet--how do I do that?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
157,"lost card found, want to put it back in app",card_linking,Neutral,Low,-0.25,1.2,False,Neutral,Low,False,False,,
158,"I just got a card, how can I add it to the app?",card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
159,Is there any way to see my card in the app?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
160,If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it?,card_linking,Neutral,Low,-0.394,2.0,False,Mildly Negative,Low,False,False,,
161,I found my card. How can I put it into my app?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
162,How do I make my card show up in the app?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
163,Can you show me where to link the new card?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
164,I found my old card. Can I link it back into the app?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
165,"Show me how to link the new card,",card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
166,How do I add an existing card to the app?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
167,I finally got my card.  Now I want to link it.  Is that something you have to do or can I do that?,card_linking,Neutral,Low,0.077,0.0,False,Neutral,Low,False,False,,
168,How do I link one of your card that I already have?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
169,If I have a physical card can I link it?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
170,I found my lost card in my jacket pocket this morning so I'd like to reactivate it please.,card_linking,Neutral,Low,0.417,0.0,False,Neutral,Low,False,False,,
171,Can I add a card that I just found (again) to the app?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
172,How can I make my card show up in the app?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
173,"I would like to re-activate my card, it was previously reported  lost but I found it this morning.",card_linking,Neutral,Low,0.026,0.0,False,Neutral,Low,False,False,,
174,"Okay, I found my card, can I put it back in the app?",card_linking,Neutral,Low,0.226,0.0,False,Neutral,Low,False,False,,
175,Can I reactivate a card?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
176,I would like to reactivate a card and wondered if that could be done?,card_linking,Neutral,Low,0.361,0.0,False,Neutral,Low,False,False,,
177,"I got my card now, how do I make it show up in the app?",card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
178,How do I link an existing card?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
179,How do I link a new card in the app?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
180,"The card I thought was lost was just in my jacket, so can I reactivate it since I found it this morning?",card_linking,Neutral,Low,-0.318,1.6,False,Neutral,Low,False,False,,
181,I already have a card and want to link it,card_linking,Neutral,Low,0.077,0.0,False,Neutral,Low,False,False,,
182,Can you please reactivate my card?,card_linking,Neutral,Low,0.318,0.0,False,Neutral,Low,False,False,,
183,Where do I go to add a new card?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
184,I want my card I just received to show up in the app. How do I do that?,card_linking,Neutral,Low,0.077,0.0,False,Neutral,Low,False,False,,
185,"I received my card, how do I get it to show in the app?",card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
186,If I have a credit card with you how I get set up to link to it?,card_linking,Neutral,Low,0.382,0.0,False,Neutral,Low,False,False,,
187,How do I add my new card?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
188,"I want to reactivate my card, I thought I had lost it but found it again this morning.",card_linking,Neutral,Low,-0.128,0.6,False,Neutral,Low,False,False,,
189,"I need a card reactivation, I had reported my card lost but I ran across it in my jacket.",card_linking,Neutral,Low,-0.166,0.8,False,Neutral,Low,False,False,,
190,My card is no longer lost. How do I enter it back into the app?,card_linking,Neutral,Low,-0.061,0.3,False,Neutral,Low,False,False,,
191,"I want to reactivate my card, I thought I had lost it but found it again in my jacket.",card_linking,Neutral,Low,-0.128,0.6,False,Neutral,Low,False,False,,
192,"May I reactivate my card? I previously reported it lost, but have now found it safe and sound.",card_linking,Neutral,Low,0.494,0.0,False,Neutral,Low,False,False,,
193,How do I reactivate a card I thought I lost?,card_linking,Neutral,Low,-0.318,1.6,False,Neutral,Low,False,False,,
194,Help me figure out how to link the new card.,card_linking,Neutral,Low,0.402,0.0,False,Neutral,Low,False,False,,
195,I found my lost card. Am I still able to use it?,card_linking,Neutral,Low,-0.318,1.6,False,Neutral,Low,False,False,,
196,Will I need a new card or can I put my old card back into the app?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
197,Is there a way to link the card i just got?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
198,How do I add a new card?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
199,"I want to reactivate my card, I found it after thinking it was lost.",card_linking,Neutral,Low,-0.25,1.2,False,Neutral,Low,False,False,,
200,Can I put my old card back in the app?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
201,"I got a new card, how do I link it?",card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
202,I found the card I thought I lost this morning. Can I reactivate this card?,card_linking,Neutral,Low,-0.318,1.6,False,Neutral,Low,False,False,,
203,How do i go about linking a new card?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
204,how do i get the card linked,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
205,"I have one of your cards, but I don't know how to link it.",card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
206,how do I link an old card?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
207,I received my card. How do I link it to the app?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
208,"Now that I have my card, how do I connect it to the app?",card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
209,How do I add the card I just received to show up in the app?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
210,"I want to reactivate my card, I thought I had lost it but I found it.",card_linking,Neutral,Low,-0.128,0.6,False,Neutral,Low,False,False,,
211,What do I need to do to link my new card for my account?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
212,Can I add a card to back into the app?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
213,I want to link my new card. Can you help?,card_linking,Neutral,Low,0.459,0.0,False,Neutral,Low,False,False,,
214,What is the process to link the new card?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
215,"I found my card, am I able to put it back into the app?",card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
216,"I have found my lost or stolen card, would I still have to activate the new card that was sent to me through the mail in order to access my account?",card_linking,Neutral,Low,-0.67,3.9,False,Mildly Negative,Low,True,True,,stolen
217,Where can I link a new card?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
218,How do I add a card on to the app?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
219,"I found my card in my jacket this morning, so can I reactivate it?",card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
220,"I've obtained the card, how do I enable it on the app?",card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
221,I need to find the card I received in the app.,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
222,How do I get my card on the app?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
223,"In the app, how can I make it show the new card that arrived?",card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
224,How do I link my new card?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
225,Can I activate a card in the app?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
226,"I want to link to my card card with you, how?",card_linking,Neutral,Low,0.077,0.0,False,Neutral,Low,False,False,,
227,I would like to link my card to my account.,card_linking,Neutral,Low,0.361,0.0,False,Neutral,Low,False,False,,
228,"I thought I lost my card so I cancelled it, but recently I found it in my jacket and I would like to re-establish the card.",card_linking,Neutral,Low,0.241,0.5,False,Neutral,Low,True,True,,lost my card
229,How can I link the new card?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
230,I got a new card and can't find where to link it.,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
231,"Hey, I have my card, how do I get it to show in the app?",card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
232,Where in the app do I go to make my new card show up?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
233,Where do I scan my card?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
234,Can I reactivate my card? I reported it lost and found it this morning in my jacket.,card_linking,Neutral,Low,-0.318,1.6,False,Neutral,Low,False,False,,
235,Can I link my card I previously received?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
236,"I want to reactivate my card, I thought I had lost it but found it again in my jacket this morning.",card_linking,Neutral,Low,-0.128,0.6,False,Neutral,Low,False,False,,
237,"I'd lke my card reactivated, I was thinking it was misplaced but I discovered when I woke up that I had left it in my coat.",card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
238,You sent me a card and now I want to link it.,card_linking,Neutral,Low,0.077,0.0,False,Neutral,Low,False,False,,
239,How do I add my new card to the app?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
240,Can I add a card back to the app?,card_linking,Neutral,Low,0.0,0.0,False,Neutral,Low,False,False,,
241,What if I want to add a card I already have to the app?,card_linking,Neutral,Low,0.077,0.0,False,Neutral,Low,False,False,,
